date_added,clean,persistent_id,name,kind,podcast,bitrate,unplayed,comments,track_number,location,file_folder_count,track_id,size,artwork_count,library_folder_count,track_type,album,sort_name,date_modified,release_date,genre,sample_rate,total_time,year,artist
2022-01-04 02:36:36,True,16FDB3899E2B6C74,2 Nephi 5,,True,,True,,,https://media.blubrry.com/bookofmormonaudiorestorationed/bookofmormonaudio.com/podcast/episodes/BOM_018_2-Nephi_5.mp3,,14770,17037082,,,URL,Book of Mormon Audio - Restoration Edition,,,2020-04-20 22:05:00,Podcast,,811000,,Restoration Archives
2022-01-04 02:36:36,True,2476FF07A268973F,2 Nephi 6,,True,,True,,,https://media.blubrry.com/bookofmormonaudiorestorationed/bookofmormonaudio.com/podcast/episodes/BOM_019_2-Nephi_6.mp3,,14768,18837441,,,URL,Book of Mormon Audio - Restoration Edition,,,2020-04-27 04:25:00,Podcast,,901000,,Restoration Archives
2022-01-04 02:36:36,True,FC91F773C987FAD7,2 Nephi 7,,True,,True,,,https://media.blubrry.com/bookofmormonaudiorestorationed/bookofmormonaudio.com/podcast/episodes/BOM_020_2-Nephi_7.mp3,,14766,7703531,,,URL,Book of Mormon Audio - Restoration Edition,,,2020-04-27 04:27:00,Podcast,,344000,,Restoration Archives
2022-01-04 02:36:36,True,2A02064C5F6FC023,2 Nephi 8,,True,,True,,,https://media.blubrry.com/bookofmormonaudiorestorationed/bookofmormonaudio.com/podcast/episodes/BOM_021_2-Nephi_8.mp3,,14764,19605441,,,URL,Book of Mormon Audio - Restoration Edition,,,2020-04-27 04:30:00,Podcast,,939000,,Restoration Archives
2022-01-04 02:36:36,True,18CE3494B309E759,2 Nephi 9,,True,,True,,,https://media.blubrry.com/bookofmormonaudiorestorationed/bookofmormonaudio.com/podcast/episodes/BOM_022_2-Nephi-9.mp3,,14762,28297425,,,URL,Book of Mormon Audio - Restoration Edition,,,2020-05-05 00:13:00,Podcast,,1374000,,Restoration Archives
2022-01-04 02:36:36,True,61C9A0487ACC7879,2 Nephi 10,,True,,True,,,https://media.blubrry.com/bookofmormonaudiorestorationed/bookofmormonaudio.com/podcast/episodes/BOM_023_2-Nephi-10.mp3,,14760,11588985,,,URL,Book of Mormon Audio - Restoration Edition,,,2020-05-05 00:16:00,Podcast,,538000,,Restoration Archives
2022-01-04 02:36:36,True,1B8CCF5E94A8FEAF,2 Nephi 11,,True,,True,,,https://media.blubrry.com/bookofmormonaudiorestorationed/bookofmormonaudio.com/podcast/episodes/BOM_024_2-Nephi-11.mp3,,14758,32485377,,,URL,Book of Mormon Audio - Restoration Edition,,,2020-05-10 19:30:00,Podcast,,1583000,,Restoration Archives
2022-01-04 02:36:36,True,09BB7FD7EE8FCB1E,2 Nephi 12,,True,,True,,,https://media.blubrry.com/bookofmormonaudiorestorationed/bookofmormonaudio.com/podcast/episodes/BOM_025_2-Nephi-12.mp3,,14756,18839532,,,URL,Book of Mormon Audio - Restoration Edition,,,2020-05-20 21:54:28,Podcast,,901000,,Restoration Archives
2022-01-04 02:36:36,True,20C24D3FA1CBEA42,2 Nephi 13,,True,,True,,,https://media.blubrry.com/bookofmormonaudiorestorationed/bookofmormonaudio.com/podcast/episodes/BOM_026_2-Nephi-13.mp3,,14754,7380659,,,URL,Book of Mormon Audio - Restoration Edition,,,2020-05-29 15:13:00,Podcast,,328000,,Restoration Archives
2022-01-04 02:36:36,True,60342713B057AF48,2 Nephi 14,,True,,True,,,https://media.blubrry.com/bookofmormonaudiorestorationed/bookofmormonaudio.com/podcast/episodes/BOM_027_2-Nephi-14.mp3,,14752,3713067,,,URL,Book of Mormon Audio - Restoration Edition,,,2020-05-29 15:14:00,Podcast,,144000,,Restoration Archives
2022-01-04 02:36:36,True,90F9F39156163A30,2 Nephi 15,,True,,True,,,https://media.blubrry.com/bookofmormonaudiorestorationed/bookofmormonaudio.com/podcast/episodes/BOM_028_2-Nephi-15.mp3,,14750,5209361,,,URL,Book of Mormon Audio - Restoration Edition,,,2020-05-29 15:15:00,Podcast,,219000,,Restoration Archives
2022-01-04 02:36:36,True,91C0BCF6236610AC,Jacob 1,,True,,True,,,https://media.blubrry.com/bookofmormonaudiorestorationed/bookofmormonaudio.com/podcast/episodes/BOM_029_Jacob_1.mp3,,14748,6213505,,,URL,Book of Mormon Audio - Restoration Edition,,,2020-06-10 16:00:00,Podcast,,269000,,Restoration Archives
2022-01-04 02:36:36,True,87E4137198E79FE2,Jacob 2,,True,,True,,,https://media.blubrry.com/bookofmormonaudiorestorationed/bookofmormonaudio.com/podcast/episodes/BOM_030_Jacob_2.mp3,,14746,14905488,,,URL,Book of Mormon Audio - Restoration Edition,,,2020-06-10 16:02:00,Podcast,,704000,,Restoration Archives
2022-01-04 02:36:36,True,1455045BB022BCC0,Jacob 3,,True,,True,,,https://media.blubrry.com/bookofmormonaudiorestorationed/bookofmormonaudio.com/podcast/episodes/BOM_031_Jacob_3.mp3,,14744,31973374,,,URL,Book of Mormon Audio - Restoration Edition,,,2020-06-15 16:03:00,Podcast,,1557000,,Restoration Archives
2022-01-04 02:36:36,True,C4F13C334205F40A,Jacob 4,,True,,True,,,https://media.blubrry.com/bookofmormonaudiorestorationed/bookofmormonaudio.com/podcast/episodes/BOM_032_Jacob_4.mp3,,14742,4461733,,,URL,Book of Mormon Audio - Restoration Edition,,,2020-06-15 16:04:00,Podcast,,182000,,Restoration Archives
