date_added,persistent_id,name,kind,podcast,bitrate,play_date_utc,unplayed,location,file_folder_count,track_id,play_count,size,library_folder_count,track_type,album,sort_name,date_modified,release_date,genre,sample_rate,total_time,play_date,year,artist
2022-01-04 02:36:31,E05A38D0E03EE502,How to Sell Millions of Books: A History of Cedar Fort,,True,,2019-11-05 22:26:37,True,https://cdn.simplecast.com/audio/14f821/14f8212a-0f65-4e66-89f3-e38f5d547ebe/234d9611-aff2-4473-a6d4-d854357d07b7/history-of-cedar-fort-final_tc.mp3?aid=rss_feed&feed=gYmLzuwR,,12720,,62695026,,URL,Everyday Saints,,,2019-10-29 06:00:03,Podcast,,4069000,3655812397,,"Bryce Mortimer, Valerie Loveless"
2022-01-04 02:36:31,A91D8B31A7B4967B,Temple Insights and Conversion Stories - A Conversation with Alonzo Gaskill,,True,,2019-10-31 17:53:13,True,https://cdn.simplecast.com/audio/14f821/14f8212a-0f65-4e66-89f3-e38f5d547ebe/2be9193f-4cff-4449-9d02-4d589eb5e73f/alonzo-gaskill_tc.mp3?aid=rss_feed&feed=gYmLzuwR,,12722,,49887819,,URL,Everyday Saints,,,2019-10-30 06:00:11,Podcast,,3118000,3655367593,,"Valerie Loveless, Alonzo Gaskill, Bryce Mortimer"
2022-01-04 02:36:31,2A48051317C52F5B,"Date, Fail, Write About it, Repeat",,True,,2019-12-21 21:56:21,True,https://cdn.simplecast.com/audio/14f821/14f8212a-0f65-4e66-89f3-e38f5d547ebe/b9835b07-8076-468e-a7b8-9955ba4fcaf4/chelseacurran_tc.mp3?aid=rss_feed&feed=gYmLzuwR,,12724,,43684683,,URL,Everyday Saints,,,2019-10-31 15:10:38,Podcast,,3017000,3659784981,,"Chelsea Curran, Valerie Loveless"
2022-01-04 02:36:31,3CB583E577B660BD,"Moroni, Helping You Shake the Powers of Evil.",,True,,2019-11-12 20:23:06,True,https://cdn.simplecast.com/audio/14f821/14f8212a-0f65-4e66-89f3-e38f5d547ebe/cfd9b9d5-d2af-4de2-99fc-c38590d42277/sean-nobmann-final_tc.mp3?aid=rss_feed&feed=gYmLzuwR,,12726,,47850295,,URL,Everyday Saints,,,2019-11-04 07:00:01,Podcast,,2991000,3656409786,,"Valerie Loveless, Sean Nobmann"
2022-01-04 02:36:31,68D811A167655BBC,Walking with the Women of the Book of Mormon,,True,,2019-11-11 22:10:56,True,https://cdn.simplecast.com/audio/14f821/14f8212a-0f65-4e66-89f3-e38f5d547ebe/34ace3b0-7f9f-4415-aa6d-244077de2790/walking-with-the-women-of-the-book-of-mormon_tc.mp3?aid=rss_feed&feed=gYmLzuwR,,12728,,38208957,,URL,Everyday Saints,,,2019-11-05 07:00:02,Podcast,,3074000,3656329856,,"Heather Farrel, Mandy Williams, Valerie Loveless"
2022-01-04 02:36:31,85F68496FFD591CA,"Romance, Laughter and Dishes: What Hot Mess Mom's Know",,True,,2019-11-08 17:38:56,True,https://cdn.simplecast.com/audio/14f821/14f8212a-0f65-4e66-89f3-e38f5d547ebe/edbd1b5c-c8b2-4295-a973-47c8a3ff351b/aspen-hadleyfinal_tc.mp3?aid=rss_feed&feed=gYmLzuwR,,12730,,69796240,,URL,Everyday Saints,,,2019-11-06 07:00:14,Podcast,,4528000,3656054336,,"Valerie Loveless, Aspen Hadley"
2022-01-04 02:36:31,7C7F22C05FBB4502,The Road to Freedom: WWII LDS Fiction from the German Perspective,,True,,2020-01-17 19:15:42,True,https://cdn.simplecast.com/audio/14f821/14f8212a-0f65-4e66-89f3-e38f5d547ebe/65828cbb-c842-46b8-a220-582996b8c057/sean-pollockfinal_tc.mp3?aid=rss_feed&feed=gYmLzuwR,,12732,,45126511,,URL,Everyday Saints,Road to Freedom: WWII LDS Fiction from the German Perspective,,2019-11-11 07:00:04,Podcast,,2820000,3662108142,,"Shawn Pollock, Valerie Loveless"
2022-01-04 02:36:31,C2E60F6DF5E72EC4,Saints at War with Robert C. Freeman Part One Veterans Day Special,,True,,2020-01-04 20:21:39,True,https://cdn.simplecast.com/audio/14f821/14f8212a-0f65-4e66-89f3-e38f5d547ebe/5c0bb28b-5a7e-47c6-9e34-5289b071a168/bob-freeman1_tc.mp3?aid=rss_feed&feed=gYmLzuwR,,12734,,29989369,,URL,Everyday Saints,,,2019-11-12 07:00:10,Podcast,,1889000,3660988899,,"Valerie Loveless, Bob Freeman, Robert C. Freeman"
2022-01-04 02:36:31,D117645F5B251DBB,Saints at War: Veterans Day Special Part two with Robert Freeman,,True,,2019-12-05 23:42:09,True,https://cdn.simplecast.com/audio/14f821/14f8212a-0f65-4e66-89f3-e38f5d547ebe/fa98a668-835f-47d3-a69e-68f8ecc2dd7e/bob-freeman2_tc.mp3?aid=rss_feed&feed=gYmLzuwR,,12736,,36863391,,URL,Everyday Saints,,,2019-11-13 07:00:02,Podcast,,2304000,3658408929,,"Valerie Loveless, Robert C Freeman"
2022-01-04 02:36:31,A598B702699718B1,From Lesbian Moms to LDS Mission: Mike Ramsey,,True,,2019-12-06 00:53:45,True,https://cdn.simplecast.com/audio/14f821/14f8212a-0f65-4e66-89f3-e38f5d547ebe/2b4b681d-ebe5-46e8-b4a3-900b8e80afd5/mike-ramseyfinal_tc.mp3?aid=rss_feed&feed=gYmLzuwR,,12738,,68728145,,URL,Everyday Saints,,,2019-11-18 14:28:04,Podcast,,4295000,3658413225,,"Valerie Loveless, Mike Ramsey"
2022-01-04 02:36:31,312024DDDD0C3C92,"Millennial and Boomer talk Jesus, Smart Phones and LGBTQ",,True,,2019-12-06 19:27:02,True,https://cdn.simplecast.com/audio/14f821/14f8212a-0f65-4e66-89f3-e38f5d547ebe/3dd164ff-bfdb-45c5-9972-6abf9b8c313f/michael-grant_tc.mp3?aid=rss_feed&feed=gYmLzuwR,,12740,,60545811,,URL,Everyday Saints,,,2019-11-19 07:00:11,Podcast,,4340000,3658480022,,"Valerie Loveless, Michael Grant"
2022-01-04 02:36:31,D4741D394B0C464C,Let's Remove the Stigma from Mental Illness and Suicide,,True,,2019-12-06 21:13:10,True,https://cdn.simplecast.com/audio/14f821/14f8212a-0f65-4e66-89f3-e38f5d547ebe/38b1d9ae-89fc-44a1-8e27-d3739cf4803c/survivors-of-suicide-awareness-day_tc.mp3?aid=rss_feed&feed=gYmLzuwR,,12742,,77703779,,URL,Everyday Saints,,,2019-11-20 07:00:05,Podcast,,4863000,3658486390,,"Wendy Parmley, Valerie Loveless"
2022-01-04 02:36:31,C7C1BCCD9B242D70,What to Read this Holiday: New Releases and Children's Books,,True,,2019-12-06 21:13:24,True,https://cdn.simplecast.com/audio/14f821/14f8212a-0f65-4e66-89f3-e38f5d547ebe/da6852e7-6e9c-4a12-8a0e-86c3e5051929/what-to-read_tc.mp3?aid=rss_feed&feed=gYmLzuwR,,12744,,18694207,,URL,Everyday Saints,,,2019-11-25 17:39:33,Podcast,,1168000,3658486404,,"Emily Pritchet, Brooklyn Parks, Calie Schmidt, Stephanie Hohl, Valerie Loveless, Nina Harris"
2022-01-04 02:36:31,7458D986CB48E473,"The Trials that Define Us: Jeff Olsen, Emily Gould, Bryan Young",,True,,2020-01-18 19:31:28,True,https://cdn.simplecast.com/audio/14f821/14f8212a-0f65-4e66-89f3-e38f5d547ebe/10eeaf12-3ee5-408d-80a9-abc29bddf367/the-trials-that-define-who-we-are_tc.mp3?aid=rss_feed&feed=gYmLzuwR,,12746,,90280642,,URL,Everyday Saints,"Trials that Define Us: Jeff Olsen, Emily Gould, Bryan Young",,2019-12-09 18:42:43,Podcast,,5643000,3662195488,,"Emily Gould, Jeff Olsen, Bryan Young, Valerie Loveless"
