date_added,persistent_id,name,kind,podcast,bitrate,play_date_utc,unplayed,comments,location,file_folder_count,track_id,play_count,size,artwork_count,library_folder_count,track_type,album,sort_name,date_modified,release_date,genre,sample_rate,total_time,play_date,year,artist
2023-04-09 18:49:16,094BAC6DFD1D7803,The Architect And The Toolbox,,True,,,True,,https://chrt.fm/track/247G8/pdst.fm/e/claritaspod.com/measure/locator.simplecastcdn.com/c2f72873-31fc-4bc6-9d40-e596dcb6b867/eb53b820-dea0-48cb-85e9-8681402423a8.mp3?aid=rss_feed&feed=Ynq4lw9w,,39828,,35414926,,,URL,Compiler,Architect And The Toolbox,,2023-02-02 08:00:00,Podcast,,2203000,,,Red Hat
2023-04-09 18:49:16,7F371AE5F767B4CF,The Designer And The Blueprint,,True,,,True,,https://chrt.fm/track/247G8/pdst.fm/e/claritaspod.com/measure/locator.simplecastcdn.com/c2f72873-31fc-4bc6-9d40-e596dcb6b867/68a895ca-d7a1-463d-8485-275c9734267e.mp3?aid=rss_feed&feed=Ynq4lw9w,,39830,,27771769,,,URL,Compiler,Designer And The Blueprint,,2023-02-16 08:00:00,Podcast,,1725000,,,Red Hat
2023-04-09 18:49:16,FEF9CB583A01785E,The Sysadmin And The Script,,True,,2023-03-10 01:01:09,,,https://chrt.fm/track/247G8/pdst.fm/e/claritaspod.com/measure/locator.simplecastcdn.com/c2f72873-31fc-4bc6-9d40-e596dcb6b867/f6fabe6e-4326-4bd8-90e3-8906bde549e8.mp3?aid=rss_feed&feed=Ynq4lw9w,,39832,1,36061604,,,URL,Compiler,Sysadmin And The Script,,2023-03-02 08:00:00,Podcast,,2243000,3761229669,,Red Hat
2023-04-09 18:49:24,6519EBD9266FB201,The Product Manager And The Loop,MPEG audio file,True,128,,True,"When building out an application, it can be hard to decide what needs attention, and what can wait. Maintenance is important, but development teams also want to add new features for customers. So they have to choose, and not everyone agrees. A product man",https://chrt.fm/track/247G8/pdst.fm/e/claritaspod.com/measure/locator.simplecastcdn.com/c2f72873-31fc-4bc6-9d40-e596dcb6b867/e0ea1cf0-fdc7-4ed2-9172-2587f3973397.mp3?aid=rss_feed&feed=Ynq4lw9w,,41004,,31470798,1,,URL,Compiler,Product Manager And The Loop,2023-04-09 18:49:24,2023-03-16 07:00:00,Podcast,44100,1956000,,2023,Red Hat
2023-04-09 18:49:29,C17ACF9509274936,The Web Developer And The Presence,MPEG audio file,True,128,2023-04-25 19:55:10,,"Web development has changed a lot over the years. And for startups, it’s a necessity, at least for marketing and securing capital. But digital strategy and product strategy don’t have to be separate. They can be considered as two parts of a company’s appr",https://chrt.fm/track/247G8/pdst.fm/e/claritaspod.com/measure/locator.simplecastcdn.com/c2f72873-31fc-4bc6-9d40-e596dcb6b867/56ac1928-d685-40c2-8ea7-91b984380b1e.mp3?aid=rss_feed&feed=Ynq4lw9w,,41018,1,31269264,1,,URL,Compiler,Web Developer And The Presence,2023-04-09 18:49:29,2023-03-30 07:00:00,Podcast,44100,1944000,3765275710,2023,Red Hat
2023-06-02 01:50:19,3112B1649668ABDF,"Tech Support, Deconstructed",,True,,,True,,https://chrt.fm/track/247G8/pdst.fm/e/claritaspod.com/measure/locator.simplecastcdn.com/c2f72873-31fc-4bc6-9d40-e596dcb6b867/b44ab339-ae65-450c-9942-e4aadce11c4e.mp3?aid=rss_feed&feed=Ynq4lw9w,,41378,,34142032,,,URL,Compiler,,,2023-04-13 07:00:00,Podcast,,2123000,,,Red Hat
2023-06-02 01:50:25,ACCA787283B169A3,The Developer Advocate And The Exchange,MPEG audio file,True,128,,True,,https://chrt.fm/track/247G8/pdst.fm/e/claritaspod.com/measure/locator.simplecastcdn.com/c2f72873-31fc-4bc6-9d40-e596dcb6b867/bf95eac1-5bd3-4dda-9052-257477b30987.mp3?aid=rss_feed&feed=Ynq4lw9w,,41396,,37522655,,,URL,Compiler,Developer Advocate And The Exchange,2023-06-02 01:50:25,2023-04-27 07:00:00,Podcast,44100,2336000,,2023,Red Hat
2023-06-02 01:50:30,D054D0F7F8A9D580,Tech Conferences 101,MPEG audio file,True,128,,True,,https://chrt.fm/track/247G8/pdst.fm/e/claritaspod.com/measure/locator.simplecastcdn.com/c2f72873-31fc-4bc6-9d40-e596dcb6b867/d88081d3-ac8e-4eb4-938a-70b9ab16d64a.mp3?aid=rss_feed&feed=Ynq4lw9w,,41406,,34138632,,,URL,Compiler,,2023-06-02 01:50:30,2023-05-11 07:00:00,Podcast,44100,2103000,,2023,Red Hat
2023-06-02 01:50:33,FE242045586D9ED7,Datacenters And Sustainability,MPEG audio file,True,128,,True,,https://chrt.fm/track/247G8/pdst.fm/e/claritaspod.com/measure/locator.simplecastcdn.com/c2f72873-31fc-4bc6-9d40-e596dcb6b867/0620e83f-33a4-48ad-a64d-b4affa1ec200.mp3?aid=rss_feed&feed=Ynq4lw9w,,41410,,28246154,,,URL,Compiler,,2023-06-02 01:50:33,2023-05-25 07:00:00,Podcast,44100,1735000,,2023,Red Hat
2023-06-24 01:39:13,A4C2FD48BA202CC5,Adventures In Automation,MPEG audio file,True,128,,True,,https://chrt.fm/track/247G8/pdst.fm/e/claritaspod.com/measure/locator.simplecastcdn.com/c2f72873-31fc-4bc6-9d40-e596dcb6b867/3a5a86cb-9a82-442d-8d2b-010b6cbe6d99.mp3?aid=rss_feed&feed=Ynq4lw9w,,41448,,34099458,,,URL,Compiler,,2023-06-24 01:39:13,2023-06-08 07:00:00,Podcast,44100,2101000,,2023,Red Hat
2023-06-24 01:39:17,7F5156AF85BE195C,Ready To Launch,MPEG audio file,True,128,,True,,file://localhost/C:/Users/bruce/Music/iTunes/iTunes Media/Podcasts/Compiler/Ready To Launch.mp3,4,41458,,36878583,,1,File,Compiler,,2023-06-24 01:39:17,2023-06-22 07:00:00,Podcast,44100,2304104,,2023,Red Hat
2023-07-11 19:49:19,A8F39B74E54A4E2D,Thriving In Economic Uncertainty,MPEG audio file,True,128,,True,,file://localhost/C:/Users/bruce/Music/iTunes/iTunes Media/Podcasts/Compiler/Thriving In Economic Uncertainty.mp3,4,41580,,41426628,,1,File,Compiler,,2023-07-11 19:49:19,2023-07-06 07:00:00,Podcast,44100,2588342,,2023,Red Hat
2023-08-22 19:55:29,580A2B1317BF4919,In Defense Of Legacy,MPEG audio file,True,128,,True,,file://localhost/C:/Users/bruce/Music/iTunes/iTunes Media/Podcasts/Compiler/In Defense Of Legacy.mp3,4,85079,,29396457,,1,File,Compiler,,2023-08-22 19:55:29,2023-08-17 07:00:00,Podcast,44100,1836355,,2023,Red Hat
