date_added,persistent_id,name,kind,podcast,bitrate,play_date_utc,unplayed,location,file_folder_count,track_id,play_count,size,artwork_count,library_folder_count,track_type,album,date_modified,release_date,genre,sample_rate,total_time,play_date,year,artist,composer
2022-01-04 02:36:39,9D920FA795368497,She's Awake Introduction,,True,,,True,https://dangrant.podomatic.com/enclosure/2018-07-05T17_14_33-07_00.mp3,,15936,,31230693,,,URL,She's Awake Podcast,,2018-07-06 00:14:33,Podcast,,1511000,,,,
2022-01-04 02:36:39,327C6D9D7581E936,Are you Tangled?,,True,,,True,https://dangrant.podomatic.com/enclosure/2018-07-14T21_59_59-07_00.mp3,,15938,,28876150,,,URL,She's Awake Podcast,,2018-07-15 04:59:59,Podcast,,1362000,,,,
2022-01-04 02:36:39,1B9B8EEA9F509406,Spiritual Experience vs. Spiritual Awakening,,True,,,True,https://dangrant.podomatic.com/enclosure/2018-07-16T14_13_13-07_00.mp3,,15940,,23792992,,,URL,She's Awake Podcast,,2018-07-16 21:13:13,Podcast,,1126000,,,,
2022-01-04 02:36:39,B981EE8D1653FB7F,Peaceful Surrender,,True,,,True,https://dangrant.podomatic.com/enclosure/2018-07-29T15_35_19-07_00.mp3,,15942,,25118121,,,URL,She's Awake Podcast,,2018-07-29 22:35:19,Podcast,,1184000,,,,
2022-01-04 02:36:39,3082BB61125F66B8,Are You Rooted in Faith or Fear?,,True,,,True,https://dangrant.podomatic.com/enclosure/2018-08-19T17_01_15-07_00.mp3,,15944,,39053632,,,URL,She's Awake Podcast,,2018-08-20 00:01:15,Podcast,,1855000,,,,
2022-01-04 02:36:39,197EF5BFD60594B6,Is your heart ready to recieve the Prodigal Son?,,True,,,True,https://dangrant.podomatic.com/enclosure/2018-09-01T18_51_13-07_00.mp3,,15946,,23397028,,,URL,She's Awake Podcast,,2018-09-02 01:51:13,Podcast,,1129000,,,,
2022-01-04 02:36:39,26660FC5B4D82039,Discovering Unconditional Love,,True,,,True,https://dangrant.podomatic.com/enclosure/2018-10-04T12_21_14-07_00.mp3,,15948,,31770716,,,URL,She's Awake Podcast,,2018-10-04 19:21:14,Podcast,,1496000,,,,
2022-01-04 02:36:39,1F193BEB1D547C20,Interview With Noelle Malvin,,True,,,True,https://dangrant.podomatic.com/enclosure/2018-10-08T12_48_35-07_00.mp3,,15950,,7891558,,,URL,She's Awake Podcast,,2018-10-08 19:48:35,Podcast,,1992000,,,,
2022-01-04 02:36:39,613609F3D333226A,Preparation for Revalation,,True,,,True,https://dangrant.podomatic.com/enclosure/2018-10-15T10_58_36-07_00.mp3,,15952,,26049497,,,URL,She's Awake Podcast,,2018-10-15 17:58:36,Podcast,,1233000,,,,
2022-01-04 02:36:39,8B78352F03FFF3C0,Use Your Gifts,,True,,,True,https://dangrant.podomatic.com/enclosure/2018-10-28T15_33_06-07_00.mp3,,15954,,19639162,,,URL,She's Awake Podcast,,2018-10-28 22:33:06,Podcast,,880000,,,,
2022-01-04 02:36:39,235AF77C04890D06,Discovering Your Truth Through Prayer,,True,,,True,https://dangrant.podomatic.com/enclosure/2018-11-06T11_39_09-08_00.mp3,,15956,,27898067,,,URL,She's Awake Podcast,,2018-11-06 19:39:09,Podcast,,1327000,,,,
2022-01-04 02:36:39,D1C9726A57FB09B8,How Defining Moments Create A Firm Foundation,,True,,,True,https://dangrant.podomatic.com/enclosure/2018-11-20T09_48_54-08_00.mp3,,15958,,23813439,,,URL,She's Awake Podcast,,2018-11-20 17:48:54,Podcast,,1121000,,,,
2022-01-04 02:36:39,E5D678BA3615414E,How Your 5 Senses Can Deceive You,,True,,,True,https://dangrant.podomatic.com/enclosure/2018-11-27T10_50_49-08_00.mp3,,15960,,19744135,,,URL,She's Awake Podcast,,2018-11-27 18:50:49,Podcast,,935000,,,,
2022-01-04 02:36:39,C4A890B0A9031089,Your Mission Matters,,True,,,True,https://dangrant.podomatic.com/enclosure/2018-12-01T18_52_58-08_00.mp3,,15962,,26749821,,,URL,She's Awake Podcast,,2018-12-02 02:52:58,Podcast,,1273000,,,,
2022-01-04 02:36:39,952FC7FC970D1183,Are You Feeling Stuck In Your Life?,,True,,,True,https://dangrant.podomatic.com/enclosure/2018-12-03T11_36_48-08_00.mp3,,15964,,24584737,,,URL,She's Awake Podcast,,2018-12-03 19:36:48,Podcast,,1183000,,,,
2022-01-04 02:36:39,B34B198C5E326F33,Having A Daily Life Review,,True,,,True,https://dangrant.podomatic.com/enclosure/2018-12-10T13_35_09-08_00.mp3,,15966,,12054288,,,URL,She's Awake Podcast,,2018-12-10 21:35:09,Podcast,,1003000,,,,
2022-01-04 02:36:39,721E7BFC65F3216F,She's Awake Special Announcement,,True,,,True,https://dangrant.podomatic.com/enclosure/2018-12-23T10_40_32-08_00.mp3,,15968,,2716900,,,URL,She's Awake Podcast,,2018-12-23 18:40:32,Podcast,,225000,,,,
2022-01-04 02:36:39,F9C44893284CD542,Asking Why Last,,True,,,True,https://dangrant.podomatic.com/enclosure/2019-01-06T14_27_07-08_00.mp3,,15970,,14173957,,,URL,She's Awake Podcast,,2019-01-06 22:27:07,Podcast,,1180000,,,,
2022-01-04 02:36:39,F7CCEBB0E5D2989F,Coaching and Connecting Information,,True,,2019-03-19 18:32:09,True,https://dangrant.podomatic.com/enclosure/2019-01-09T08_38_57-08_00.mp3,,15972,,5924078,,,URL,She's Awake Podcast,,2019-01-09 16:38:57,Podcast,,493000,3635843529,,,
2022-01-04 02:36:39,EF561D8EA0EF01CE,Removing the Scales of Judgement,,True,,2019-05-03 20:00:47,True,https://dangrant.podomatic.com/enclosure/2019-01-13T16_30_37-08_00.mp3,,15974,,22627930,,,URL,She's Awake Podcast,,2019-01-14 00:30:37,Podcast,,1885000,3639736847,,,
2022-01-04 02:36:39,00E32F418B1A0A10,Cure vs. Care...It's All About Perspective,,True,,2019-04-03 22:38:51,True,https://dangrant.podomatic.com/enclosure/2019-01-20T20_21_13-08_00.mp3,,15976,,14719706,,,URL,She's Awake Podcast,,2019-01-21 04:21:13,Podcast,,1226000,3637154331,,,
2022-01-04 02:36:39,03F52901F78A50F9,Q&A with Rachael Grant Dixon,,True,,2019-03-21 21:58:28,True,https://dangrant.podomatic.com/enclosure/2019-01-28T17_11_57-08_00.mp3,,15978,,14323172,,,URL,She's Awake Podcast,,2019-01-29 01:11:57,Podcast,,1192000,3636028708,,,
2022-01-04 02:36:39,37C0064EA141F3C2,Interview with Jake Woodard,,True,,2019-03-21 21:38:35,True,https://dangrant.podomatic.com/enclosure/2019-01-29T16_53_32-08_00.mp3,,15980,,27234765,,,URL,She's Awake Podcast,,2019-01-30 00:53:32,Podcast,,2269000,3636027515,,,
2022-01-04 02:36:39,A4BB6445547D752C,What We Can Learn About Spirituality From Recipes,,True,,2019-02-10 15:54:08,True,https://dangrant.podomatic.com/enclosure/2019-02-03T09_56_09-08_00.mp3,,15982,,12940772,,,URL,She's Awake Podcast,,2019-02-03 17:56:09,Podcast,,1077000,3632633648,,,
2022-01-04 02:36:39,D1E2319288194613,Interview with Amy Turner: Part 1,,True,,2019-02-21 19:29:55,True,https://dangrant.podomatic.com/enclosure/2019-02-07T12_04_08-08_00.mp3,,15984,,20242208,,,URL,She's Awake Podcast,,2019-02-07 20:04:08,Podcast,,1686000,3633596995,,,
