date_added,persistent_id,name,kind,podcast,bitrate,play_date_utc,unplayed,comments,track_number,location,sort_album,file_folder_count,track_id,play_count,size,library_folder_count,track_type,album,date_modified,release_date,genre,sample_rate,total_time,play_date,year,artist
2022-01-04 02:36:37,F09D25729BCF0BAF,Bonus: Salt Gathering - Study,,True,,2019-08-15 19:54:47,True,,,https://mcdn.podbean.com/mf/web/t37h4n/31_Bonus_-_Salt_Discussion.mp3,Scripture Study Project,,15624,,48996398,,URL,The Scripture Study Project,,2019-08-15 05:29:47,Podcast,,2935000,3648722087,,Zach and Krista
2022-01-04 02:36:37,43197F3E962484C7,1 Corinthians 1-7 - Temple,,True,,2019-08-21 21:07:03,True,,,https://mcdn.podbean.com/mf/web/fcwvps/33_-_Temple.mp3,Scripture Study Project,,15626,,32086129,,URL,The Scripture Study Project,,2019-08-19 03:19:33,Podcast,,1730000,3649244823,,Zach and Krista
2022-01-04 02:36:37,EB4C4333DC39C019,1 Cor 8-13 - Body,,True,,2019-08-26 18:58:00,True,,,https://mcdn.podbean.com/mf/web/9aankx/34_-_Body.mp3,Scripture Study Project,,15628,,31162163,,URL,The Scripture Study Project,,2019-08-26 04:28:38,Podcast,,1763000,3649669080,,Zach and Krista
2022-01-04 02:36:37,328A68C1189F7823,1 Corinthians 14-16 - Voices,,True,,2019-09-09 14:04:42,True,,,https://mcdn.podbean.com/mf/web/x5y7az/35_-_Voices.mp3,Scripture Study Project,,15630,,32620197,,URL,The Scripture Study Project,,2019-09-02 04:42:20,Podcast,,1768000,3650861082,,Zach and Krista
2022-01-04 02:36:37,7B9E14ECEDE68623,2 Corinthians 1-7 - Groan,,True,,2019-09-10 18:21:51,True,,,https://mcdn.podbean.com/mf/web/r6tug3/36_-_Groan.mp3,Scripture Study Project,,15632,,30222868,,URL,The Scripture Study Project,,2019-09-09 04:40:06,Podcast,,1767000,3650962911,,Zach and Krista
2022-01-04 02:36:37,47139667034A405D,2 Corinthians 8-13 - Thorn,,True,,2019-09-16 22:54:51,True,,,https://mcdn.podbean.com/mf/web/qy7pkh/37_-_Thorn.mp3,Scripture Study Project,,15634,,31338009,,URL,The Scripture Study Project,,2019-09-16 04:38:53,Podcast,,1694000,3651497691,,Zach and Krista
2022-01-04 02:36:37,9E13457E4346FE2B,Galatians - Stand,,True,,2019-11-16 01:47:08,True,,,https://mcdn.podbean.com/mf/web/s8xigm/38_-_Stand.mp3,Scripture Study Project,,15636,,31801492,,URL,The Scripture Study Project,,2019-09-23 04:03:33,Podcast,,1788000,3656688428,,Zach and Krista
2022-01-04 02:36:37,0F52E97D4CC0A9D7,Ephesians - Battle,,True,,2019-10-09 20:12:19,True,,,https://mcdn.podbean.com/mf/web/k5jdqs/39_-_Battle.mp3,Scripture Study Project,,15638,,31915474,,URL,The Scripture Study Project,,2019-09-30 05:09:43,Podcast,,1793000,3653475139,,Zach and Krista
2022-01-04 02:36:37,522DA64274344E73,Philippians-Colossians - Rejoice,,True,,2019-10-15 20:23:29,True,,,https://mcdn.podbean.com/mf/web/nwhci9/40_-_Rejoice.mp3,Scripture Study Project,,15640,,30446423,,URL,The Scripture Study Project,,2019-10-14 05:45:04,Podcast,,1668000,3653994209,,Zach and Krista
2022-01-04 02:36:37,EDF5FD2D6EF69C15,1-2 Thessalonians - Patience,,True,,2019-10-23 23:10:51,True,,,https://mcdn.podbean.com/mf/web/sfev6d/41_-_Patience.mp3,Scripture Study Project,,15642,,33391934,,URL,The Scripture Study Project,,2019-10-21 05:12:07,Podcast,,1791000,3654695451,,Zach and Krista
2022-01-04 02:36:37,9723940819E1CA1C,"1-2 Timothy, Titus, Philemon - Swerve",,True,,2019-10-28 21:49:07,True,,,https://mcdn.podbean.com/mf/web/wjmcq9/43_-_Swerve.mp3,Scripture Study Project,,15644,,31180008,,URL,The Scripture Study Project,,2019-10-28 04:26:26,Podcast,,1723000,3655122547,,Zach and Krista
2022-01-04 02:36:37,6AA09DCE99AE85EF,Hebrews 1-6 - Captain,,True,,2019-11-14 19:25:36,True,,,https://mcdn.podbean.com/mf/web/7fwv26/43_-_Captain.mp3,Scripture Study Project,,15646,,32238404,,URL,The Scripture Study Project,,2019-11-04 05:52:03,Podcast,,1730000,3656579136,,Zach and Krista
2022-01-04 02:36:37,9B8E437BC9FCF6AC,Hebrews 7-13 - Assurance,,True,,2019-11-16 00:56:36,True,,,https://mcdn.podbean.com/mf/web/mgx4ps/44_-_Assurance.mp3,Scripture Study Project,,15648,,33440047,,URL,The Scripture Study Project,,2019-11-11 05:26:54,Podcast,,1791000,3656685396,,Zach and Krista
2022-01-04 02:36:37,902ACA6AD6295BA5,James - Doers,,True,,2019-11-21 20:24:27,True,,,https://mcdn.podbean.com/mf/web/xfgaj3/45_-_Doers.mp3,Scripture Study Project,,15650,,32634414,,URL,The Scripture Study Project,,2019-11-18 06:33:05,Podcast,,1786000,3657187467,,Zach and Krista
2022-01-04 02:36:37,BB2E70FB162322CB,1-2 Peter - Endure,,True,,2019-11-27 00:38:47,True,,,https://mcdn.podbean.com/mf/web/3288s3/46_-_Endure.mp3,Scripture Study Project,,15652,,27641186,,URL,The Scripture Study Project,,2019-11-25 04:45:00,Podcast,,1526000,3657634727,,Zach and Krista
2022-01-04 02:36:37,260052AEC4DE1AC2,"1-3 John, Jude - Fellowship",,True,,2019-12-21 15:37:27,True,,,https://mcdn.podbean.com/mf/web/872pru/47_-_Fellowship.mp3,Scripture Study Project,,15654,,30222042,,URL,The Scripture Study Project,,2019-12-02 04:53:45,Podcast,,1634000,3659762247,,Zach and Krista
2022-01-04 02:36:37,ECA6D9330730CB1C,Revelation 1-11 - Revelation,,True,,2019-12-21 21:46:55,True,,,https://mcdn.podbean.com/mf/web/tec7m6/48_-_Revelation.mp3,Scripture Study Project,,15656,,31603483,,URL,The Scripture Study Project,,2019-12-09 05:00:00,Podcast,,1719000,3659784415,,Zach and Krista
2022-01-04 02:36:37,84013251A19DE0D2,Christmas - First,,True,,2019-12-21 21:56:18,True,,,https://mcdn.podbean.com/mf/web/3uhxi6/49_-_Christmas.mp3,Scripture Study Project,,15658,,19408671,,URL,The Scripture Study Project,,2019-12-16 07:04:45,Podcast,,1066000,3659784978,,Zach and Krista
2022-01-04 02:36:37,ACB6AAD60F637E49,Revelation 12-22 - Overcome,,True,,2020-01-04 20:21:38,True,,,https://mcdn.podbean.com/mf/web/jc4a7x/50_-_Overcome.mp3,Scripture Study Project,,15660,,32075517,,URL,The Scripture Study Project,,2019-12-23 05:00:00,Podcast,,1790000,3660988898,,Zach and Krista
2022-01-04 02:36:37,4C28FA19E88AA335,Book of Mormon Intro Pages - Thesis,,True,,2020-01-10 16:15:05,True,,,https://mcdn.podbean.com/mf/web/wq6kfy/1_-_Introductory_Pages_C_.mp3,Scripture Study Project,,15662,,29195713,,URL,The Scripture Study Project,,2020-01-04 21:52:28,Podcast,,1598000,3661492505,,Zach and Krista
2022-01-04 02:36:37,928D2647B46C7DF1,"1 Nephi 1-7 - ""the Lord spake unto me""",,True,,,True,,,https://mcdn.podbean.com/mf/web/gr9azv/2_-_1_Nephi_1-7_B_.mp3,Scripture Study Project,,15664,,31327120,,URL,The Scripture Study Project,,2020-01-06 05:21:36,Podcast,,1720000,,,Zach and Krista
2022-01-04 02:36:37,7D5F61CBDD37EB3B,"1 Nephi 8-10 - ""rely on this Redeemer""",,True,,,True,,,https://mcdn.podbean.com/mf/web/gjyn7h/3_-_1_Nephi_8-10_B_.mp3,Scripture Study Project,,15666,,29994857,,URL,The Scripture Study Project,,2020-01-13 05:38:34,Podcast,,1771000,,,Zach and Krista
2022-01-04 02:36:37,1AA1DEB550A7CA5C,"1 Nephi 11-15 - ""it is the love of God""",,True,,,True,,,https://mcdn.podbean.com/mf/web/fq64m6/4_-_1_Nephi_11-15.mp3,Scripture Study Project,,15668,,24724117,,URL,The Scripture Study Project,,2020-01-20 05:06:17,Podcast,,1714000,,,Zach and Krista
