date_added,persistent_id,name,kind,podcast,album_artist,bitrate,play_date_utc,unplayed,comments,location,sort_album,file_folder_count,track_id,size,artwork_count,library_folder_count,track_type,album,date_modified,release_date,genre,sample_rate,total_time,play_date,year,artist,composer
2022-01-04 02:36:34,A91B978E006B78FE,"Ep. 115: Entrepreneur & Eclectic Noah Kagan Shares His Best Tips on Learning, Productivity, and Entrepreneurship",,True,,,,True,,https://traffic.libsyn.com/clean/secure/becomingasuperhuman/Ep._115_-_Entrepreneur__Eclectic_Noah_Kagan_Shares_His_Best_Tips_on_Learning_Productivity_and_Entrepreneurship.mp3?dest-id=246682,SuperHuman Academy Podcast,,13316,43654528,,,URL,The SuperHuman Academy Podcast,,2017-04-04 10:00:00,Podcast,,3430000,,,,
2022-01-04 02:36:34,70A16787A82CAE27,Ep. 116: How To Optimize Your Performance Like The World's Top Athletes w/ Expert Dr. Greg Wells,,True,,,,True,,https://traffic.libsyn.com/clean/secure/becomingasuperhuman/Ep._116_-_How_To_Optimize_Your_Performance_Like_The_Worlds_Top_Athletes_with_Expert_Dr._Greg_Wells.mp3?dest-id=246682,SuperHuman Academy Podcast,,13318,42161444,,,URL,The SuperHuman Academy Podcast,,2017-04-11 11:28:48,Podcast,,3306000,,,,
2022-01-04 02:36:34,D03DD1EE8359F507,Ep. 117: How To Live Life To Your Highest Purpose w/ Jake Ducey,,True,,,,True,,https://traffic.libsyn.com/clean/secure/becomingasuperhuman/Ep._117_-_How_To_Live_Life_To_Your_Highest_Purpose_with_Jake_Ducey.mp3?dest-id=246682,SuperHuman Academy Podcast,,13320,29966960,,,URL,The SuperHuman Academy Podcast,,2017-04-18 10:00:00,Podcast,,2292000,,,,
2022-01-04 02:36:34,5E17CD065928B66D,"Ep. 118: Acro Yoga Co-Founder Jason Nemer On The Intoxicating Practice That Heals Body, Heart, & Soul",,True,,,,True,,https://traffic.libsyn.com/clean/secure/becomingasuperhuman/Ep._118_-_Acro_Yoga_Co-Founder_Jason_Nemer_On_The_Intoxicating_Practice_That_Heals_Body_Heart__Soul.mp3?dest-id=246682,SuperHuman Academy Podcast,,13322,43291391,,,URL,The SuperHuman Academy Podcast,,2017-04-25 10:00:00,Podcast,,3400000,,,,
2022-01-04 02:36:34,FB8C39B957A65CC0,"Ep. 119: We Talk Bone Broth, Health Hacks, Marketing, and Business w/ Entrepreneur Justin Mares",,True,,,,True,,https://traffic.libsyn.com/clean/secure/becomingasuperhuman/Ep._119_-_We_Talk_Bone_Broth_Health_Hacks_Marketing_and_Business_with_Entrepreneur_Justin_Mares.mp3?dest-id=246682,SuperHuman Academy Podcast,,13324,38473411,,,URL,The SuperHuman Academy Podcast,,2017-05-02 10:00:00,Podcast,,2570000,,,,
2022-01-04 02:36:34,7463E60CB37E93CC,"Ep. 120: William Davis M.D. Is Back, And He Wants To Help Protect You From Your Doctor",,True,,,,True,,https://traffic.libsyn.com/clean/secure/becomingasuperhuman/Ep._120_-_William_Davis_M.D._Is_Back_And_He_Wants_To_Help_Protect_You_From_Your_Doctor.mp3?dest-id=246682,SuperHuman Academy Podcast,,13326,35576018,,,URL,The SuperHuman Academy Podcast,,2017-05-09 10:00:00,Podcast,,2760000,,,,
2022-01-04 02:36:34,673B0AD4AC4B9EB4,Ep. 121: Celebrity Trainer Vinnie Tortorich On How To Remap Your Body For Optimal Health,,True,,,,True,,https://traffic.libsyn.com/clean/secure/becomingasuperhuman/Ep._121_-_Celebrity_Trainer_Vinnie_Tortorich_On_How_To_Remap_Your_Body_For_Optimal_Health.mp3?dest-id=246682,SuperHuman Academy Podcast,,13328,39786600,,,URL,The SuperHuman Academy Podcast,,2017-05-16 10:00:00,Podcast,,3111000,,,,
2022-01-04 02:36:34,DFFFE540F1F4BEC9,Ep. 122: Dr. Andrew Newberg On The Neuroscience & Philosophy Of Human Consciousness,,True,,,,True,,https://traffic.libsyn.com/clean/secure/becomingasuperhuman/Ep._122_-_Dr._Andrew_Newberg_On_The_Neuroscience__Philosophy_Of_Human_Consciousness.mp3?dest-id=246682,SuperHuman Academy Podcast,,13330,36442196,,,URL,The SuperHuman Academy Podcast,,2017-05-23 10:00:00,Podcast,,2832000,,,,
2022-01-04 02:36:34,7ECF83AC60B1FF55,Ep. 123: Christopher Kelly on Engineering Optimal Human Performance,,True,,,,True,,https://traffic.libsyn.com/clean/secure/becomingasuperhuman/Ep._123_-_Christopher_Kelly_on_Engineering_Optimal_Human_Performance.mp3?dest-id=246682,SuperHuman Academy Podcast,,13332,40479484,,,URL,The SuperHuman Academy Podcast,,2017-05-30 10:00:00,Podcast,,3165000,,,,
2022-01-04 02:36:34,495013FE93920411,"Ep. 124: Cedric Bertelli: How To Instantly & Permanently Heal Emotional Trauma Using ""TIPI""",,True,,,,True,,https://traffic.libsyn.com/clean/secure/becomingasuperhuman/Ep._124_-_Cedric_Bertelli_-_How_To_Instantly__Permanently_Heal_Emotional_Trauma_Using_TIPI.mp3?dest-id=246682,SuperHuman Academy Podcast,,13334,28859199,,,URL,The SuperHuman Academy Podcast,,2017-06-06 10:00:00,Podcast,,2193000,,,,
2022-01-04 02:36:34,1CDA2519B2745109,Ep. 125: How (And Why) Burning Man Changes People Forever,,True,,,,True,,https://traffic.libsyn.com/clean/secure/becomingasuperhuman/Ep._125_-_How_And_Why_Burning_Man_Changes_People_Forever.mp3?dest-id=246682,SuperHuman Academy Podcast,,13336,21319372,,,URL,The SuperHuman Academy Podcast,,2017-06-13 10:00:00,Podcast,,1572000,,,,
2022-01-04 02:36:34,A44262FA5DA87DA2,"Ep. 126: Developing Grit, Patience, & Passion w/ Caroline Adams Miller",,True,,,,True,,https://traffic.libsyn.com/clean/secure/becomingasuperhuman/Ep._126_-_Developing_Grit_Patience__Passion_with_Caroline_Adams_Miller.mp3?dest-id=246682,SuperHuman Academy Podcast,,13338,34926006,,,URL,The SuperHuman Academy Podcast,,2017-06-20 10:00:00,Podcast,,2705000,,,,
2022-01-04 02:36:34,B6C9098BF274B75E,Ep. 127: From Space Suits To Sounder Sleep: Mark Aramli On How To Improve Your Sleep,,True,,,,True,,https://traffic.libsyn.com/clean/secure/becomingasuperhuman/Ep._127_-_From_Space_Suits_To_Sounder_Sleep_-_Mark_Aramli_On_How_To_Improve_Your_Sleep.mp3?dest-id=246682,SuperHuman Academy Podcast,,13340,33669408,,,URL,The SuperHuman Academy Podcast,,2017-06-27 10:00:00,Podcast,,2230000,,,,
2022-01-04 02:36:34,7631FF77566D3EB9,"Ep. 128: Understanding (And Becoming) ""Iceberg People""",,True,,,,True,,https://traffic.libsyn.com/clean/secure/becomingasuperhuman/Ep._128_-_Understanding_And_Becoming_Iceberg_People.mp3?dest-id=246682,SuperHuman Academy Podcast,,13342,12729200,,,URL,The SuperHuman Academy Podcast,,2017-07-04 10:00:00,Podcast,,856000,,,,
2022-01-04 02:36:34,76FD09C449657224,"Ep. 129: Could Giving Up Alcohol Make You ""SuperHuman?"" w/ Ruari Fairbairns",,True,,,,True,,https://traffic.libsyn.com/clean/secure/becomingasuperhuman/Ep._129_-_Could_Giving_Up_Alcohol_Make_You_SuperHuman_with_Ruari_Fairbairns.mp3?dest-id=246682,SuperHuman Academy Podcast,,13344,32106291,,,URL,The SuperHuman Academy Podcast,,2017-07-11 10:00:00,Podcast,,2470000,,,,
2022-01-04 02:36:34,0E53BBDCEE81924B,Ep. 130: How Better Communication Will Transform Your Life w/ Amy E. Smith,,True,,,,True,,https://traffic.libsyn.com/clean/secure/becomingasuperhuman/Ep._130_-_How_Better_Communication_Will_Transform_Your_Life_with_Amy_E._Smith.mp3?dest-id=246682,SuperHuman Academy Podcast,,13346,34981315,,,URL,The SuperHuman Academy Podcast,,2017-07-18 10:00:00,Podcast,,2710000,,,,
2022-01-04 02:36:34,594C0E96C1E669A8,Ep. 131: How To Learn Music & Musical Instruments Faster w/ Josh Turknett,,True,,,,True,,https://traffic.libsyn.com/clean/secure/becomingasuperhuman/Ep._131_-_How_To_Learn_Music__Musical_Instruments_Faster_with_Josh_Turknett.mp3?dest-id=246682,SuperHuman Academy Podcast,,13348,31163412,,,URL,The SuperHuman Academy Podcast,,2017-07-25 10:00:00,Podcast,,2392000,,,,
2022-01-04 02:36:34,92AD30BB68FC0090,"Ep. 132: We Talk Productivity, Self Awareness, and Discipline w/ Darius Foroux",,True,,,,True,,https://traffic.libsyn.com/clean/secure/becomingasuperhuman/Ep._132_-_We_Talk_Productivity_Self_Awareness_and_Discipline_with_Darius_Foroux.mp3?dest-id=246682,SuperHuman Academy Podcast,,13350,24903110,,,URL,The SuperHuman Academy Podcast,,2017-08-01 10:00:00,Podcast,,1870000,,,,
2022-01-04 02:36:34,8745257F7F9E4380,Ep. 133: Outsourcing To The Philippines Will Make You SuperHuman w/ Mike Grogan,,True,,,,True,,https://traffic.libsyn.com/clean/secure/becomingasuperhuman/Ep._133_-_Outsourcing_To_The_Philippines_Will_Make_You_SuperHuman_with_Mike_Grogan.mp3?dest-id=246682,SuperHuman Academy Podcast,,13352,32976084,,,URL,The SuperHuman Academy Podcast,,2017-08-08 10:00:00,Podcast,,2543000,,,,
2022-01-04 02:36:34,986D63AC1B5F8153,Ep. 134: How To Live To Be 100+ Years Old w/ John Day M.D.,,True,,,,True,,https://traffic.libsyn.com/clean/secure/becomingasuperhuman/Ep._134_-_How_To_Live_To_Be_100_Years_Old_with_John_Day_M.D..mp3?dest-id=246682,SuperHuman Academy Podcast,,13354,27993386,,,URL,The SuperHuman Academy Podcast,,2017-08-15 10:00:00,Podcast,,2128000,,,,
2022-01-04 02:36:34,3916DFF5021CB7AE,Ep. 135: Dr. Marilyn Glenville Nutrition Is Behind Nearly All Degenerative Illness,,True,,,,True,,https://traffic.libsyn.com/clean/secure/becomingasuperhuman/Ep._135_-_Dr._Marilyn_Glenville_-_Nutrition_Is_Behind_Nearly_All_Degenerative_Illness.mp3?dest-id=246682,SuperHuman Academy Podcast,,13356,26724039,,,URL,The SuperHuman Academy Podcast,,2017-08-22 10:00:00,Podcast,,2022000,,,,
2022-01-04 02:36:34,E3E355E832DF4BBF,Ep. 136: How & Why To Train Like A Warrior w/ Former Military Trainer Tee Major,,True,,,,True,,https://traffic.libsyn.com/clean/secure/becomingasuperhuman/Ep._136_-_How__Why_To_Train_Like_A_Warrior_with_Former_Military_Trainer_Tee_Major.mp3?dest-id=246682,SuperHuman Academy Podcast,,13358,38431698,,,URL,The SuperHuman Academy Podcast,,2017-08-29 13:04:50,Podcast,,2997000,,,,
