date_added,clean,persistent_id,name,kind,podcast,album_artist,bitrate,play_date_utc,unplayed,location,file_folder_count,track_id,play_count,size,artwork_count,library_folder_count,track_type,album,sort_name,date_modified,release_date,genre,sample_rate,total_time,play_date,year,artist
2022-01-04 02:36:34,,A7CD5C2E57495804,"""Peace Like a River"" | Heidi S. Swinton | April 2004",,True,,,,True,https://traffic.omny.fm/d/clips/0c331867-ade6-4f54-a1a9-aa5d00345817/4a3d3a8e-92bb-4e77-a871-aa7100f69d0b/e7e37b29-0a1f-4c3e-9f0b-ab9200eb8241/audio.mp3?utm_source=Podcast&in_playlist=2631a465-5eed-48c6-abff-aa7100f69d0f&t=1590162412,,13044,,28950518,,,URL,Joseph Smith: BYU Speeches,,,2023-01-27 12:00:00,Podcast,,1807000,,,BYU Speeches
2022-01-04 02:36:34,,3E9915B22D104A30,The Value of a Good Name | L. Tom Perry | February 1997,,True,,,,True,https://traffic.omny.fm/d/clips/0c331867-ade6-4f54-a1a9-aa5d00345817/4a3d3a8e-92bb-4e77-a871-aa7100f69d0b/2155c9a8-15c0-4a57-bfa4-ab8b01092e18/audio.mp3?utm_source=Podcast&in_playlist=2631a465-5eed-48c6-abff-aa7100f69d0f&t=1585325391,,13042,,31064559,,,URL,Joseph Smith: BYU Speeches,Value of a Good Name | L. Tom Perry | February 1997,,2023-02-10 12:00:00,Podcast,,1939000,,,BYU Speeches
2022-05-21 03:06:46,,403250435EE8BDDD,A Choice Seer and Prophet | LeGrand Richards | March 1956,,True,,,,True,https://traffic.omny.fm/d/clips/0c331867-ade6-4f54-a1a9-aa5d00345817/4a3d3a8e-92bb-4e77-a871-aa7100f69d0b/bd3c48ab-7e59-4640-8820-ac1e0148a9b9/audio.mp3?utm_source=Podcast&in_playlist=2631a465-5eed-48c6-abff-aa7100f69d0f,,16898,,34580852,,,URL,Joseph Smith: BYU Speeches,Choice Seer and Prophet | LeGrand Richards | March 1956,,2023-02-24 11:00:00,Podcast,,2159000,,,BYU Speeches
2023-04-09 18:49:20,True,C87B56B6948F3524,What Came from Kirtland? | M. Russell Ballard | November 1994,,True,,,2021-05-29 19:18:14,,https://traffic.omny.fm/d/clips/0c331867-ade6-4f54-a1a9-aa5d00345817/4a3d3a8e-92bb-4e77-a871-aa7100f69d0b/b9a75f16-feee-4aa3-b864-abbc017fb941/audio.mp3?utm_source=Podcast&in_playlist=2631a465-5eed-48c6-abff-aa7100f69d0f&t=1589910832,,40966,1,45255533,,,URL,Joseph Smith: BYU Speeches,,,2023-03-10 11:00:00,Podcast,,2826000,3705139094,,BYU Speeches
2023-04-09 18:49:20,,20EE53B000AC10BB,The Book of Mormon Manuscripts | Preston Nibley | April 1957,,True,,,,True,https://traffic.omny.fm/d/clips/0c331867-ade6-4f54-a1a9-aa5d00345817/4a3d3a8e-92bb-4e77-a871-aa7100f69d0b/a7cddc2e-ba38-4854-b9c8-ac02011f6b73/audio.mp3?utm_source=Podcast&in_playlist=2631a465-5eed-48c6-abff-aa7100f69d0f&t=1595611992,,40968,,29343826,,,URL,Joseph Smith: BYU Speeches,Book of Mormon Manuscripts | Preston Nibley | April 1957,,2023-03-24 10:00:00,Podcast,,1831000,,,BYU Speeches
2022-01-04 02:36:34,True,786BDBB16AEA4C9E,Joseph Smith: “A Choice Seer” | Neal A. Maxwell | March 1986,,True,,,,True,https://traffic.omny.fm/d/clips/0c331867-ade6-4f54-a1a9-aa5d00345817/4a3d3a8e-92bb-4e77-a871-aa7100f69d0b/a0a289ed-305d-4199-8c04-aa7100f95781/audio.mp3?utm_source=Podcast&in_playlist=2631a465-5eed-48c6-abff-aa7100f69d0f&t=1608311040,,13066,,46301688,,,URL,Joseph Smith: BYU Speeches,,,2023-04-07 10:00:00,Podcast,,2891000,,,BYU Speeches
2022-01-04 02:36:34,,2DE43C07D7198027,The Restoration of the Priesthood | A. William Lund | March 1951,,True,,,,True,https://traffic.omny.fm/d/clips/0c331867-ade6-4f54-a1a9-aa5d00345817/4a3d3a8e-92bb-4e77-a871-aa7100f69d0b/8e08fa14-8985-485f-a33f-ac25012a1dc0/audio.mp3?utm_source=Podcast&in_playlist=2631a465-5eed-48c6-abff-aa7100f69d0f&t=1598638575,,13052,,35383758,,,URL,Joseph Smith: BYU Speeches,Restoration of the Priesthood | A. William Lund | March 1951,,2023-05-05 10:00:00,Podcast,,2209000,,,BYU Speeches
2022-01-04 02:36:34,,81182766DE2F3F5F,Powerful Truths that make a Difference in Our Lives | Joe J. Christensen | October 1998,,True,,,,True,https://traffic.omny.fm/d/clips/0c331867-ade6-4f54-a1a9-aa5d00345817/4a3d3a8e-92bb-4e77-a871-aa7100f69d0b/81b115f7-3ec4-46e8-ac87-abb501478be8/audio.mp3?utm_source=Podcast&in_playlist=2631a465-5eed-48c6-abff-aa7100f69d0f&t=1588975672,,13048,,40475778,,,URL,Joseph Smith: BYU Speeches,,,2023-05-19 10:00:00,Podcast,,2527000,,,BYU Speeches
2023-06-24 01:39:00,,4371363F9015F457,The Authorship of the Book of Mormon | Noel B. Reynolds | May 1997,,True,,,,True,https://traffic.omny.fm/d/clips/0c331867-ade6-4f54-a1a9-aa5d00345817/4a3d3a8e-92bb-4e77-a871-aa7100f69d0b/f139fde5-952d-4641-af4f-ab7c01717839/audio.mp3?utm_source=Podcast&in_playlist=2631a465-5eed-48c6-abff-aa7100f69d0f&t=1584101086,,41412,,39274124,,,URL,Joseph Smith: BYU Speeches,Authorship of the Book of Mormon | Noel B. Reynolds | May 1997,,2023-06-02 10:00:00,Podcast,,2452000,,,BYU Speeches
2022-01-04 02:36:34,True,CAF7922E40A6332A,Joseph Smith: “Praise to the Man”| Gordon B. Hinckley | November 1979,,True,,,,True,https://traffic.omny.fm/d/clips/0c331867-ade6-4f54-a1a9-aa5d00345817/4a3d3a8e-92bb-4e77-a871-aa7100f69d0b/9765e257-0cba-4328-a667-aa7100f91d4d/audio.mp3?utm_source=Podcast&in_playlist=2631a465-5eed-48c6-abff-aa7100f69d0f&t=1613754159,,13070,,29375186,,,URL,Joseph Smith: BYU Speeches,,,2023-06-16 10:00:00,Podcast,,1833000,,,BYU Speeches
2023-07-11 19:48:47,True,49B6D7F3095DAAF5,Joseph Smith and the Problem of Evil | David L. Paulsen | September 1999,,True,,,,True,https://traffic.omny.fm/d/clips/0c331867-ade6-4f54-a1a9-aa5d00345817/4a3d3a8e-92bb-4e77-a871-aa7100f69d0b/06488eb7-8518-4199-9ad6-aa7100f6de54/audio.mp3?utm_source=Podcast&in_playlist=2631a465-5eed-48c6-abff-aa7100f69d0f&t=1566935401,,41560,,40082881,,,URL,Joseph Smith: BYU Speeches,,,2023-06-30 10:00:00,Podcast,,2503000,,,BYU Speeches
2022-01-04 02:36:34,,36C5015BB0ACCFBB,Joseph Smith—The Man | S. Dilworth Young | January 1966,,True,,,2020-08-19 16:31:05,True,https://traffic.omny.fm/d/clips/0c331867-ade6-4f54-a1a9-aa5d00345817/4a3d3a8e-92bb-4e77-a871-aa7100f69d0b/85c431e3-48f5-4183-a806-ac100102d005/audio.mp3?utm_source=Podcast&in_playlist=2631a465-5eed-48c6-abff-aa7100f69d0f&t=1596815809,,13050,,30926634,,,URL,Joseph Smith: BYU Speeches,,,2023-07-14 10:00:00,Podcast,,1930000,3680677865,,BYU Speeches
