date_added,persistent_id,name,kind,podcast,bitrate,play_date_utc,unplayed,location,file_folder_count,track_id,size,artwork_count,library_folder_count,track_type,album,sort_name,date_modified,release_date,genre,sample_rate,total_time,play_date,year,artist
2023-04-09 18:49:17,5B8AA2F3A62A9305,The Search for Sheree | The Supper Club | 4,,True,,,True,https://dts.podtrac.com/redirect.mp3/chrt.fm/track/9EE2G/pdst.fm/e/rss.art19.com/episodes/radiopublic/iflK1omSrLPRbPL7T-z38sBn2XLqJysy/f95b28d4-1a08-46b2-922e-7b6a0b0e5d3f.mp3?rss_browser=BAhJIgtpVHVuZXMGOgZFVA==--0f9dd97c834207796ab75d38d0005f63a0b14164,,40954,75816542,,,URL,Cold,Search for Sheree | The Supper Club | 4,,2023-03-06 08:01:00,Podcast,,4738000,,,
2023-04-09 18:49:17,D5EF8E2311E3345A,The Search for Sheree | Nighthawk | 5,,True,,,True,https://dts.podtrac.com/redirect.mp3/chrt.fm/track/9EE2G/pdst.fm/e/rss.art19.com/episodes/radiopublic/iflK1omSrLPRbPL7T-z38sBn2XLqJysy/09d042a8-d174-4810-95ab-56a531fc31bc.mp3?rss_browser=BAhJIgtpVHVuZXMGOgZFVA==--0f9dd97c834207796ab75d38d0005f63a0b14164,,40956,67820564,,,URL,Cold,Search for Sheree | Nighthawk | 5,,2023-03-13 07:01:00,Podcast,,4238000,,,
2023-04-09 18:49:17,3AAE23C585FB40D2,The Search for Sheree | Lying Liars | 6,,True,,,True,https://dts.podtrac.com/redirect.mp3/chrt.fm/track/9EE2G/pdst.fm/e/rss.art19.com/episodes/radiopublic/iflK1omSrLPRbPL7T-z38sBn2XLqJysy/ba9e3d97-9853-4c0d-947f-6406a563d5e5.mp3?rss_browser=BAhJIgtpVHVuZXMGOgZFVA==--0f9dd97c834207796ab75d38d0005f63a0b14164,,40958,73315056,,,URL,Cold,Search for Sheree | Lying Liars | 6,,2023-03-20 07:01:00,Podcast,,4582000,,,
2023-04-09 18:49:17,68CF827E9F82BC89,The Search for Sheree | Purgatory | 7,,True,,,True,https://dts.podtrac.com/redirect.mp3/chrt.fm/track/9EE2G/pdst.fm/e/rss.art19.com/episodes/radiopublic/iflK1omSrLPRbPL7T-z38sBn2XLqJysy/79caa661-7f56-40d6-ba74-673741506dad.mp3?rss_browser=BAhJIgtpVHVuZXMGOgZFVA==--0f9dd97c834207796ab75d38d0005f63a0b14164,,40960,64602279,,,URL,Cold,Search for Sheree | Purgatory | 7,,2023-03-27 07:01:00,Podcast,,4037000,,,
2023-04-09 18:49:17,C81B131CAEE8ECDC,The Search for Sheree | Fool Me Once | 8,,True,,,True,https://dts.podtrac.com/redirect.mp3/chrt.fm/track/9EE2G/pdst.fm/e/rss.art19.com/episodes/radiopublic/iflK1omSrLPRbPL7T-z38sBn2XLqJysy/b43bb2ed-4cd7-4409-af1c-92f0ad1b8e7d.mp3?rss_browser=BAhJIgtpVHVuZXMGOgZFVA==--0f9dd97c834207796ab75d38d0005f63a0b14164,,40962,64942915,,,URL,Cold,Search for Sheree | Fool Me Once | 8,,2023-04-03 07:01:00,Podcast,,4058000,,,
2023-06-02 01:50:11,6C7805153E399816,The Search for Sheree | A Picture in the Lobby | 9,,True,,,True,https://dts.podtrac.com/redirect.mp3/chrt.fm/track/9EE2G/pdst.fm/e/rss.art19.com/episodes/radiopublic/iflK1omSrLPRbPL7T-z38sBn2XLqJysy/30fef441-a94e-4cca-87c3-2cbee8838966.mp3?rss_browser=BAhJIgtpVHVuZXMGOgZFVA==--0f9dd97c834207796ab75d38d0005f63a0b14164,,41126,69826769,,,URL,Cold,Search for Sheree | A Picture in the Lobby | 9,,2023-04-10 07:01:00,Podcast,,4364000,,,
2023-06-02 01:50:11,C725FBC57D81D5C8,The Search for Sheree | Last Man Standing | 10,,True,,,True,https://dts.podtrac.com/redirect.mp3/chrt.fm/track/9EE2G/pdst.fm/e/rss.art19.com/episodes/radiopublic/iflK1omSrLPRbPL7T-z38sBn2XLqJysy/d26613d7-23c4-4b59-be3e-660386842600.mp3?rss_browser=BAhJIgtpVHVuZXMGOgZFVA==--0f9dd97c834207796ab75d38d0005f63a0b14164,,41128,65489606,,,URL,Cold,Search for Sheree | Last Man Standing | 10,,2023-04-17 07:01:00,Podcast,,4093000,,,
2023-06-02 01:50:11,3CD68713DE1B70BC,What You Should Listen To Next: Killer Psyche,,True,,,True,https://dts.podtrac.com/redirect.mp3/chrt.fm/track/9EE2G/pdst.fm/e/rss.art19.com/episodes/radiopublic/iflK1omSrLPRbPL7T-z38sBn2XLqJysy/eed7ae2d-ea04-45e8-8585-ac25baab7d1a.mp3?rss_browser=BAhJIgtpVHVuZXMGOgZFVA==--0f9dd97c834207796ab75d38d0005f63a0b14164,,41130,6576587,,,URL,Cold,,,2023-04-18 08:00:00,Podcast,,411000,,,
2023-06-02 01:50:11,C5ED6DE38F48C2A5,The Search for Sheree | Talking Cold: Who Owns Your Case? | 11,,True,,,True,https://dts.podtrac.com/redirect.mp3/chrt.fm/track/9EE2G/pdst.fm/e/rss.art19.com/episodes/radiopublic/iflK1omSrLPRbPL7T-z38sBn2XLqJysy/cb5cc616-7f52-4e08-85ba-506d3bcee2b3.mp3?rss_browser=BAhJIgtpVHVuZXMGOgZFVA==--0f9dd97c834207796ab75d38d0005f63a0b14164,,41132,37763866,,,URL,Cold,Search for Sheree | Talking Cold: Who Owns Your Case? | 11,,2023-04-24 07:01:00,Podcast,,2360000,,,
2023-06-02 01:50:11,2F4D57FFEB9BEF5D,The Search For Sheree | Talking Cold: When Obscene Calls Escalate | 12,,True,,,True,https://dts.podtrac.com/redirect.mp3/chrt.fm/track/9EE2G/pdst.fm/e/rss.art19.com/episodes/radiopublic/iflK1omSrLPRbPL7T-z38sBn2XLqJysy/4cc839f4-1793-4ecb-88ab-53ee2f40c053.mp3?rss_browser=BAhJIgtpVHVuZXMGOgZFVA==--0f9dd97c834207796ab75d38d0005f63a0b14164,,41134,33835467,,,URL,Cold,Search For Sheree | Talking Cold: When Obscene Calls Escalate | 12,,2023-05-01 07:01:00,Podcast,,2114000,,,
2023-06-02 01:50:11,83739EBA313C6FE6,The Search For Sheree | Talking Cold: Burning Questions with Dave Cawley | 13,,True,,,True,https://dts.podtrac.com/redirect.mp3/chrt.fm/track/9EE2G/pdst.fm/e/rss.art19.com/episodes/radiopublic/iflK1omSrLPRbPL7T-z38sBn2XLqJysy/1a2f7693-eead-4ac5-81ad-f31cb13e8b15.mp3?rss_browser=BAhJIgtpVHVuZXMGOgZFVA==--0f9dd97c834207796ab75d38d0005f63a0b14164,,41136,29878648,,,URL,Cold,Search For Sheree | Talking Cold: Burning Questions with Dave Cawley | 13,,2023-05-08 07:01:00,Podcast,,1867000,,,
2023-06-02 01:50:11,24F6396F094383AD,The Search For Sheree | Bonus: The Convenient Alternative | 14,,True,,,True,https://dts.podtrac.com/redirect.mp3/chrt.fm/track/9EE2G/pdst.fm/e/rss.art19.com/episodes/radiopublic/iflK1omSrLPRbPL7T-z38sBn2XLqJysy/ced63865-cdff-4949-bb5a-f0927855bc50.mp3?rss_browser=BAhJIgtpVHVuZXMGOgZFVA==--0f9dd97c834207796ab75d38d0005f63a0b14164,,41138,83446386,,,URL,Cold,Search For Sheree | Bonus: The Convenient Alternative | 14,,2023-05-15 07:01:00,Podcast,,5215000,,,
2023-08-22 19:55:15,06B572E7AF3CD1BA,Introducing: Stranger Becomes Neighbor,,True,,,True,https://dts.podtrac.com/redirect.mp3/chrt.fm/track/9EE2G/pdst.fm/e/rss.art19.com/episodes/radiopublic/iflK1omSrLPRbPL7T-z38sBn2XLqJysy/deefde28-6c7c-4391-8707-d9d2dc4a9605.mp3?rss_browser=BAhJIgtpVHVuZXMGOgZFVA==--0f9dd97c834207796ab75d38d0005f63a0b14164,,84921,11698259,,,URL,Cold,,,2023-08-15 08:00:00,Podcast,,731000,,,
