date_added,persistent_id,name,kind,podcast,album_artist,bitrate,play_date_utc,unplayed,track_number,location,file_folder_count,track_id,play_count,size,artwork_count,library_folder_count,track_type,album,date_modified,release_date,genre,sample_rate,total_time,work,play_date,year,artist
2022-01-04 02:36:37,82E42B8C004A798D,#262: Build a career in data science,,True,,,2020-07-18 15:44:13,True,,https://talkpython.fm/episodes/download/262/build-a-career-in-data-science.mp3,,15380,,34285590,,,URL,Talk Python To Me,,2020-05-01 08:00:00,Podcast,,4277000,,3677910253,,Michael Kennedy (@mkennedy)
2022-01-04 02:36:37,8F21EA14CB49CAAB,#263: SEO for developers,,True,,,2020-07-30 20:47:00,True,,https://talkpython.fm/episodes/download/263/seo-for-developers.mp3,,15382,,31455449,,,URL,Talk Python To Me,,2020-05-06 08:00:00,Podcast,,3755000,,3678965220,,Michael Kennedy (@mkennedy)
2022-01-04 02:36:37,0AFFADA8146F8EE7,#264: 10 tips every Flask developer should know,,True,,,2020-07-30 21:27:51,True,,https://talkpython.fm/episodes/download/264/10-tips-every-flask-developer-should-know.mp3,,15384,,34756754,,,URL,Talk Python To Me,,2020-05-12 08:00:00,Podcast,,4129000,,3678967671,,Michael Kennedy (@mkennedy)
2022-01-04 02:36:37,8ADFBD9E99201818,#265: Why is Python slow?,,True,,,,True,,https://talkpython.fm/episodes/download/265/why-is-python-slow.mp3,,15386,,29214759,,,URL,Talk Python To Me,,2020-05-19 08:00:00,Podcast,,3806000,,,,Michael Kennedy (@mkennedy)
2022-01-04 02:36:37,B6F6AF4065A2479F,"#266: Refactoring your code, like magic with Sourcery",,True,,,,True,,https://talkpython.fm/episodes/download/266/refactoring-your-code-like-magic-with-sourcery.mp3,,15388,,23359370,,,URL,Talk Python To Me,,2020-05-29 08:00:00,Podcast,,3425000,,,,Michael Kennedy (@mkennedy)
2022-01-04 02:36:37,5EADE7CB68E075CA,#267: 15 amazing pytest plugins,,True,,,,True,,https://talkpython.fm/episodes/download/267/15-amazing-pytest-plugins.mp3,,15390,,26243392,,,URL,Talk Python To Me,,2020-06-06 08:00:00,Podcast,,3214000,,,,Michael Kennedy (@mkennedy)
2022-01-04 02:36:37,4C6EFB8743A00560,#268: Analyzing dozens of notebook environments,,True,,,,True,,https://talkpython.fm/episodes/download/268/analyzing-dozens-of-notebook-environments.mp3,,15392,,27406624,,,URL,Talk Python To Me,,2020-06-13 08:00:00,Podcast,,3264000,,,,Michael Kennedy (@mkennedy)
2022-01-04 02:36:37,C55062E57850F5D6,#269: HoloViz - a suite of tools for Python visualization,,True,,,,True,,https://talkpython.fm/episodes/download/269/holoviz-a-suite-of-tools-for-python-visualization.mp3,,15394,,26886637,,,URL,Talk Python To Me,,2020-06-19 08:00:00,Podcast,,3357000,,,,Michael Kennedy (@mkennedy)
2022-01-04 02:36:37,52A5455F77DCAD54,"#270: Python in supply chains: oil rigs, rockets, and lettuce",,True,,,,True,,https://talkpython.fm/episodes/download/270/python-in-supply-chains-oil-rigs-rockets-and-lettuce.mp3,,15396,,30967068,,,URL,Talk Python To Me,,2020-06-25 08:00:00,Podcast,,3560000,,,,Michael Kennedy (@mkennedy)
2022-01-04 02:36:37,DEE0FE82BDE144CF,"#271: Unlock the mysteries of time, Python's datetime that is!",,True,,,,True,,https://talkpython.fm/episodes/download/271/unlock-the-mysteries-of-time-pythons-datetime-that-is.mp3,,15398,,31301732,,,URL,Talk Python To Me,,2020-07-04 08:00:00,Podcast,,3873000,,,,Michael Kennedy (@mkennedy)
2022-01-04 02:36:37,9AFAF35E8B7CAC42,#272: No IoT things in hand? Simulate them with Device Simulator Express,,True,,,,True,,https://talkpython.fm/episodes/download/272/no-iot-things-in-hand-simulate-them-with-device-simulator-express.mp3,,15400,,24551477,,,URL,Talk Python To Me,,2020-07-12 08:00:00,Podcast,,3107000,,,,Michael Kennedy (@mkennedy)
2022-01-04 02:36:37,5EE5730FB22BA700,#273: CoCalc: A fully colloborative notebook development environment,,True,,,,True,,https://talkpython.fm/episodes/download/273/cocalc-a-fully-colloborative-notebook-development-environment.mp3,,15402,,26538556,,,URL,Talk Python To Me,,2020-07-18 08:00:00,Podcast,,3306000,,,,Michael Kennedy (@mkennedy)
2022-01-04 02:36:37,61E929E20FCC0CCD,#274: Profiling data science code with FIL,,True,,,,True,,https://talkpython.fm/episodes/download/274/profiling-data-science-code-with-fil.mp3,,15404,,28221895,,,URL,Talk Python To Me,,2020-07-24 08:00:00,Podcast,,3492000,,,,Michael Kennedy (@mkennedy)
2022-01-04 02:36:37,18EDF498E349D967,#275: Beautiful Pythonic Refactorings,,True,,,2020-08-14 13:44:07,True,,https://talkpython.fm/episodes/download/275/beautiful-pythonic-refactorings.mp3,,15406,,27251780,,,URL,Talk Python To Me,,2020-08-01 08:00:00,Podcast,,3304000,,3680235847,,Michael Kennedy (@mkennedy)
2022-01-04 02:36:37,28E8DAA052D171D6,#276: Geekout: Life in the solar system and beyond,,True,,,,True,,https://talkpython.fm/episodes/download/276/geekout-life-in-the-solar-system-and-beyond.mp3,,15408,,39396093,,,URL,Talk Python To Me,,2020-08-06 08:00:00,Podcast,,4455000,,,,Michael Kennedy (@mkennedy)
2022-01-04 02:36:37,9BD7AE7C0A57DFAC,#277: 10 tips every Django developer should know,,True,,,,True,,https://talkpython.fm/episodes/download/277/10-tips-every-django-developer-should-know.mp3,,15410,,33894452,,,URL,Talk Python To Me,,2020-08-10 08:00:00,Podcast,,4317000,,,,Michael Kennedy (@mkennedy)
2022-01-04 02:36:37,7E215DAD34537526,#278: Teach kids Python with real programming and fun games at Code Combat,,True,,,2020-09-12 15:08:43,True,,https://talkpython.fm/episodes/download/278/teach-kids-python-with-real-programming-and-fun-games-at-code-combat.mp3,,15412,,32294319,,,URL,Talk Python To Me,,2020-08-21 08:00:00,Podcast,,3928000,,3682746523,,Michael Kennedy (@mkennedy)
2022-01-04 02:36:37,B949F6FAD8E8ADE9,#279: Modern Python Developer's Toolkit,,True,,,,True,,https://talkpython.fm/episodes/download/279/modern-python-developers-toolkit.mp3,,15414,,30950895,,,URL,Talk Python To Me,,2020-08-29 08:00:00,Podcast,,3689000,,,,Michael Kennedy (@mkennedy)
2022-01-04 02:36:37,5799DB5DEAA05673,#280: Python and AI in Journalism,,True,,,,True,,https://talkpython.fm/episodes/download/280/python-and-ai-in-journalism.mp3,,15416,,25577755,,,URL,Talk Python To Me,,2020-09-05 08:00:00,Podcast,,3351000,,,,Michael Kennedy (@mkennedy)
2022-01-04 02:36:37,CFFD19DBA0E5CC54,#281: Python in Car Racing,,True,,,,True,,https://talkpython.fm/episodes/download/281/python-in-car-racing.mp3,,15418,,29493355,,,URL,Talk Python To Me,,2020-09-09 08:00:00,Podcast,,3614000,,,,Michael Kennedy (@mkennedy)
