date_added,persistent_id,name,kind,podcast,bitrate,unplayed,comments,track_number,location,file_folder_count,track_id,size,library_folder_count,track_type,album,date_modified,release_date,genre,sample_rate,total_time,year,artist
2022-01-04 02:36:35,ED2F625374D0F1CB,18. God’s Reversal of Circumstances,,True,,True,,,https://downloads.isaiahinstitute.com/bookofmormonprophecypodcast/Episode_18_v1.mp3,,14356,,,URL,Book of Mormon Prophecy,,2020-10-14 17:00:00,Podcast,,1635000,,"Avraham Gileadi, Ph.D., the Isaiah Institute"
2022-01-04 02:36:35,4D052AC3B29F914C,19. Types of a Great War in the Land,,True,,True,,,https://downloads.isaiahinstitute.com/bookofmormonprophecypodcast/Episode_19_v1.mp3,,14354,,,URL,Book of Mormon Prophecy,,2020-10-13 17:00:00,Podcast,,1418000,,"Avraham Gileadi, Ph.D., the Isaiah Institute"
2022-01-04 02:36:35,D945D730F90B736A,20. The Latter-Day King of Assyria,,True,,True,,,https://downloads.isaiahinstitute.com/bookofmormonprophecypodcast/Episode_20_v1.mp3,,14352,,,URL,Book of Mormon Prophecy,,2020-10-12 17:00:00,Podcast,,1774000,,"Avraham Gileadi, Ph.D., the Isaiah Institute"
2022-01-04 02:36:35,A34129AAEF5EC726,21. What Is “Hardening the Heart”?,,True,,True,,,https://downloads.isaiahinstitute.com/bookofmormonprophecypodcast/Episode_21_v1.mp3,,14350,,,URL,Book of Mormon Prophecy,,2020-10-11 17:00:00,Podcast,,1394000,,"Avraham Gileadi, Ph.D., the Isaiah Institute"
2022-01-04 02:36:35,B242A44946AFB30A,22. What Is “Ripening in Iniquity”?,,True,,True,,,https://downloads.isaiahinstitute.com/bookofmormonprophecypodcast/Episode_22_v1.mp3,,14348,,,URL,Book of Mormon Prophecy,,2020-10-10 17:00:00,Podcast,,1204000,,"Avraham Gileadi, Ph.D., the Isaiah Institute"
2022-01-04 02:36:35,1BBDF44A8DBA7C93,23. A Decreed “Utter Destruction”,,True,,True,,,https://downloads.isaiahinstitute.com/bookofmormonprophecypodcast/Episode_23_v1.mp3,,14346,,,URL,Book of Mormon Prophecy,,2020-10-09 17:00:00,Podcast,,1443000,,"Avraham Gileadi, Ph.D., the Isaiah Institute"
2022-01-04 02:36:35,A4C334DEF9763308,24. Greater Things and Lesser Things,,True,,True,,,https://downloads.isaiahinstitute.com/bookofmormonprophecypodcast/Episode_24_v1.mp3,,14344,,,URL,Book of Mormon Prophecy,,2020-10-08 17:00:00,Podcast,,1076000,,"Avraham Gileadi, Ph.D., the Isaiah Institute"
2022-01-04 02:36:35,F1D44E60880698FE,25. The Mission of God’s Servant,,True,,True,,,https://downloads.isaiahinstitute.com/bookofmormonprophecypodcast/Episode_25_v1.mp3,,14342,,,URL,Book of Mormon Prophecy,,2020-10-07 17:00:00,Podcast,,1934000,,"Avraham Gileadi, Ph.D., the Isaiah Institute"
2022-01-04 02:36:35,BD4D7BB031E5E41A,26. Who Are the Endtime Servants?,,True,,True,,,https://downloads.isaiahinstitute.com/bookofmormonprophecypodcast/Episode_26_v1.mp3,,14340,,,URL,Book of Mormon Prophecy,,2020-10-06 17:00:00,Podcast,,1302000,,"Avraham Gileadi, Ph.D., the Isaiah Institute"
2022-01-04 02:36:35,AFC56DBCEC1C5D87,27. Translated Beings as Exemplars,,True,,True,,,https://downloads.isaiahinstitute.com/bookofmormonprophecypodcast/Episode_27_v1.mp3,,14338,,,URL,Book of Mormon Prophecy,,2020-10-05 17:00:00,Podcast,,1365000,,"Avraham Gileadi, Ph.D., the Isaiah Institute"
2022-01-04 02:36:35,AD9028DA004FE035,28. On Becoming Brothers of Jared,,True,,True,,,https://downloads.isaiahinstitute.com/bookofmormonprophecypodcast/Episode_28_v1.mp3,,14336,,,URL,Book of Mormon Prophecy,,2020-10-04 17:00:00,Podcast,,1800000,,"Avraham Gileadi, Ph.D., the Isaiah Institute"
2022-01-04 02:36:35,6FDB3365A292F4DC,29. The Coming of One Like Moses,,True,,True,,,https://downloads.isaiahinstitute.com/bookofmormonprophecypodcast/Episode_29_v1.mp3,,14334,,,URL,Book of Mormon Prophecy,,2020-10-03 17:00:00,Podcast,,1695000,,"Avraham Gileadi, Ph.D., the Isaiah Institute"
2022-01-04 02:36:35,3DA09A8B226B65D4,30. Types of the Coming of Christ,,True,,True,,,https://downloads.isaiahinstitute.com/bookofmormonprophecypodcast/Episode_30_v1.mp3,,14332,,,URL,Book of Mormon Prophecy,,2020-10-02 17:00:00,Podcast,,1816000,,"Avraham Gileadi, Ph.D., the Isaiah Institute"
