date_added,persistent_id,name,kind,podcast,bitrate,play_date_utc,unplayed,location,sort_album,file_folder_count,track_id,play_count,size,artwork_count,library_folder_count,track_type,album,date_modified,release_date,genre,sample_rate,total_time,play_date,year,artist,composer
2021-12-30 22:58:16,147E3B78FC702913,0218 Mormon 3,,True,,,True,https://mstroud.podomatic.com/enclosure/2020-10-04T12_43_22-07_00.mp3?_=1602901880.15102793,Book of Mormon: Another Testament of Jesus Christ,,6380,,21950262,,,URL,The Book of Mormon: Another Testament of Jesus Christ,,2020-10-04 19:43:22,Podcast,,1715000,,,,
2021-12-30 22:58:16,925CF67E0C5F903A,0219 Mormon 4,,True,,,True,https://mstroud.podomatic.com/enclosure/2020-10-04T18_40_38-07_00.mp3?_=1602902073.15103361,Book of Mormon: Another Testament of Jesus Christ,,6382,,13226766,,,URL,The Book of Mormon: Another Testament of Jesus Christ,,2020-10-05 01:40:38,Podcast,,1047000,,,,
2021-12-30 22:58:16,E1C78858229A1BAD,0220 Mormon 5,,True,,,True,https://mstroud.podomatic.com/enclosure/2020-10-06T19_20_56-07_00.mp3?_=1602902169.15107279,Book of Mormon: Another Testament of Jesus Christ,,6384,,33449034,,,URL,The Book of Mormon: Another Testament of Jesus Christ,,2020-10-07 02:20:56,Podcast,,2818000,,,,
2021-12-30 22:58:16,E2015AD35F5FCD56,0221 Mormon 6,,True,,,True,https://mstroud.podomatic.com/enclosure/2020-10-07T19_23_34-07_00.mp3?_=1602987183.15108962,Book of Mormon: Another Testament of Jesus Christ,,6386,,16408820,,,URL,The Book of Mormon: Another Testament of Jesus Christ,,2020-10-08 02:23:34,Podcast,,1392000,,,,
2021-12-30 22:58:16,1EB022774680B6F3,0223 Mormon 8,,True,,,True,https://mstroud.podomatic.com/enclosure/2020-10-12T17_34_31-07_00.mp3?_=1603856424.15118644,Book of Mormon: Another Testament of Jesus Christ,,6390,,39339993,,,URL,The Book of Mormon: Another Testament of Jesus Christ,,2020-10-13 00:34:31,Podcast,,3126000,,,,
2021-12-30 22:58:16,7D977A3A82DACDEF,0222 Mormon 7 Edited,,True,,,True,https://mstroud.podomatic.com/enclosure/2020-10-13T19_41_37-07_00.mp3?_=1602987170.15120730,Book of Mormon: Another Testament of Jesus Christ,,6388,,14563206,,,URL,The Book of Mormon: Another Testament of Jesus Christ,,2020-10-14 02:41:37,Podcast,,1169000,,,,
2021-12-30 22:58:16,4DF41F9433DB340B,0224 Mormon 9,,True,,,True,https://mstroud.podomatic.com/enclosure/2020-10-15T21_12_51-07_00.mp3?_=1604520033.15124946,Book of Mormon: Another Testament of Jesus Christ,,6392,,50331297,,,URL,The Book of Mormon: Another Testament of Jesus Christ,,2020-10-16 04:12:51,Podcast,,4067000,,,,
2021-12-30 22:58:16,9D9FCA578041863A,0225 Ether 1,,True,,,True,https://mstroud.podomatic.com/enclosure/2020-10-17T17_19_30-07_00.mp3?_=1604000683.15128008,Book of Mormon: Another Testament of Jesus Christ,,6394,,29083911,,,URL,The Book of Mormon: Another Testament of Jesus Christ,,2020-10-18 00:19:30,Podcast,,2199000,,,,
2021-12-30 22:58:16,8B6BD641D9CEACD0,0226 Ether 2,,True,,,True,https://mstroud.podomatic.com/enclosure/2020-10-18T09_41_16-07_00.mp3?_=1604000700.15128818,Book of Mormon: Another Testament of Jesus Christ,,6396,,34117262,,,URL,The Book of Mormon: Another Testament of Jesus Christ,,2020-10-18 16:41:16,Podcast,,265000,,,,
2021-12-30 22:58:16,3FC02965A7417C75,0227 Ether 3,,True,,,True,https://mstroud.podomatic.com/enclosure/2020-10-18T21_21_04-07_00.mp3?_=1604448296.15129826,Book of Mormon: Another Testament of Jesus Christ,,6398,,38392680,,,URL,The Book of Mormon: Another Testament of Jesus Christ,,2020-10-19 04:21:04,Podcast,,3086000,,,,
2021-12-30 22:58:16,D46DD3FFAFF62891,0228 Ether 4,,True,,,True,https://mstroud.podomatic.com/enclosure/2020-10-19T16_49_55-07_00.mp3?_=1604448382.15131734,Book of Mormon: Another Testament of Jesus Christ,,6400,,22100069,,,URL,The Book of Mormon: Another Testament of Jesus Christ,,2020-10-19 23:49:55,Podcast,,1813000,,,,
2021-12-30 22:58:16,8DCEA7F124833E9B,0229 Ether 5,,True,,,True,https://mstroud.podomatic.com/enclosure/2020-10-20T18_43_17-07_00.mp3?_=1604448689.15133870,Book of Mormon: Another Testament of Jesus Christ,,6402,,15097676,,,URL,The Book of Mormon: Another Testament of Jesus Christ,,2020-10-21 01:43:17,Podcast,,1206000,,,,
2021-12-30 22:58:16,A61CB9D0DC0E2FC4,0230 Ether 6,,True,,,True,https://mstroud.podomatic.com/enclosure/2020-10-21T11_28_44-07_00.mp3?_=1604519959.15135293,Book of Mormon: Another Testament of Jesus Christ,,6404,,26716174,,,URL,The Book of Mormon: Another Testament of Jesus Christ,,2020-10-21 18:28:44,Podcast,,2204000,,,,
2021-12-30 22:58:16,761C0C335CE61A89,0231 Ether 7,,True,,,True,https://mstroud.podomatic.com/enclosure/2020-10-22T11_51_55-07_00.mp3?_=1604519976.15137246,Book of Mormon: Another Testament of Jesus Christ,,6406,,14372166,,,URL,The Book of Mormon: Another Testament of Jesus Christ,,2020-10-22 18:51:55,Podcast,,1171000,,,,
2021-12-30 22:58:16,B6BE796AFD4590DF,0232 Ether 8,,True,,,True,https://mstroud.podomatic.com/enclosure/2020-10-23T17_40_46-07_00.mp3?_=1604841289.15138719,Book of Mormon: Another Testament of Jesus Christ,,6408,,49528391,,,URL,The Book of Mormon: Another Testament of Jesus Christ,,2020-10-24 00:40:46,Podcast,,3931000,,,,
2021-12-30 22:58:16,F7FEB7826DB60FC8,0233 Ether 9,,True,,,True,https://mstroud.podomatic.com/enclosure/2020-10-25T20_08_04-07_00.mp3?_=1605320294.15143319,Book of Mormon: Another Testament of Jesus Christ,,6410,,22635806,,,URL,The Book of Mormon: Another Testament of Jesus Christ,,2020-10-26 03:08:04,Podcast,,1823000,,,,
2021-12-30 22:58:16,D09D6D16D4AC3FF7,0234 Ether 10,,True,,,True,https://mstroud.podomatic.com/enclosure/2020-10-26T07_34_39-07_00.mp3?_=1605320465.15144297,Book of Mormon: Another Testament of Jesus Christ,,6412,,20371964,,,URL,The Book of Mormon: Another Testament of Jesus Christ,,2020-10-26 14:34:39,Podcast,,1642000,,,,
2021-12-30 22:58:16,E1C2B682EBF544D0,0235 Ether 11,,True,,,True,https://mstroud.podomatic.com/enclosure/2020-10-27T16_26_21-07_00.mp3?_=1605320543.15147069,Book of Mormon: Another Testament of Jesus Christ,,6414,,11424561,,,URL,The Book of Mormon: Another Testament of Jesus Christ,,2020-10-27 23:26:21,Podcast,,906000,,,,
2021-12-30 22:58:16,A40E518E67542EFB,0236 Ether 12 Part 1,,True,,,True,https://mstroud.podomatic.com/enclosure/2020-10-28T18_44_32-07_00.mp3?_=1605323556.15149266,Book of Mormon: Another Testament of Jesus Christ,,6416,,33847991,,,URL,The Book of Mormon: Another Testament of Jesus Christ,,2020-10-29 01:44:32,Podcast,,2697000,,,,
