date_added,clean,persistent_id,name,kind,podcast,bitrate,play_date_utc,unplayed,comments,track_number,location,track_id,play_count,size,artwork_count,track_type,album,date_modified,release_date,genre,sample_rate,total_time,play_date,year,artist
2021-12-30 22:58:18,True,5F31938ECB68C0CA,16: The Remnant,,True,,2019-05-15 21:57:30,True,,,http://media.blubrry.com/denversnufferpodcast/denversnufferpodcast.com/episodes/016_The-Remnant_v1.mp3,7240,,44217805,,URL,Denver Snuffer Podcast,,2018-04-29 16:28:33,Podcast,,2175000,3640780650,,Denver Snuffer
2021-12-30 22:58:18,True,EDB96647C292C4E9,17: Prayer – Part 1,,True,,2019-05-15 21:57:30,True,,,http://media.blubrry.com/denversnufferpodcast/denversnufferpodcast.com/episodes/017_Prayer-1_v1.mp3,7242,,60447029,,URL,Denver Snuffer Podcast,,2018-05-06 20:57:09,Podcast,,2987000,3640780650,,Denver Snuffer
2021-12-30 22:58:18,True,3458AB3E140DF6B1,18: Prayer – Part 2,,True,,2019-05-15 21:57:30,True,,,http://media.blubrry.com/denversnufferpodcast/denversnufferpodcast.com/episodes/018_Prayer-2_v1.mp3,7244,,53570684,,URL,Denver Snuffer Podcast,,2018-05-13 13:14:23,Podcast,,2643000,3640780650,,Denver Snuffer
2021-12-30 22:58:18,True,C631879C1325BE42,19: Angels – Part 1,,True,,2019-05-15 21:57:30,True,,,http://media.blubrry.com/denversnufferpodcast/denversnufferpodcast.com/episodes/019_Angels-1_v1.mp3,7246,,46616889,,URL,Denver Snuffer Podcast,,2018-05-20 22:37:52,Podcast,,2295000,3640780650,,Denver Snuffer
2021-12-30 22:58:18,True,ACD25D5F957F8C41,20: Angels – Part 2,,True,,2019-05-15 21:57:30,True,,,http://media.blubrry.com/denversnufferpodcast/denversnufferpodcast.com/episodes/020_Angels-2_v2.mp3,7248,,48800597,,URL,Denver Snuffer Podcast,,2018-05-27 17:05:43,Podcast,,2404000,3640780650,,Denver Snuffer
2021-12-30 22:58:18,True,1205FD1150921530,21: Angels – Part 3,,True,,2019-05-15 21:57:30,True,,,http://media.blubrry.com/denversnufferpodcast/denversnufferpodcast.com/episodes/021_Angels-3_v1.mp3,7250,,40637332,,URL,Denver Snuffer Podcast,,2018-06-03 13:41:16,Podcast,,1996000,3640780650,,Denver Snuffer
2021-12-30 22:58:18,True,062303282F3FB67F,22: New Jerusalem,,True,,2019-05-15 21:57:30,True,,,http://media.blubrry.com/denversnufferpodcast/denversnufferpodcast.com/episodes/022_New-Jerusalem_v1.mp3,7252,,57078408,,URL,Denver Snuffer Podcast,,2018-06-10 14:21:05,Podcast,,2818000,3640780650,,Denver Snuffer
2021-12-30 22:58:18,True,8A80EA49EB903629,23: Growing Zion,,True,,2019-05-15 21:57:30,True,,,http://media.blubrry.com/denversnufferpodcast/denversnufferpodcast.com/episodes/023_Growing-Zion_v1.mp3,7254,,35513804,,URL,Denver Snuffer Podcast,,2018-06-17 14:57:21,Podcast,,1740000,3640780650,,Denver Snuffer
2021-12-30 22:58:18,True,319FC08ED5896C6D,24: Visions,,True,,2019-05-15 21:57:30,True,,,http://media.blubrry.com/denversnufferpodcast/denversnufferpodcast.com/episodes/024_Visions_v1.mp3,7256,,24211665,,URL,Denver Snuffer Podcast,,2018-06-24 15:05:35,Podcast,,1175000,3640780650,,Denver Snuffer
2021-12-30 22:58:18,True,788F8A406F889FD3,25: Sacrifice,,True,,2019-05-15 21:57:30,True,,,http://media.blubrry.com/denversnufferpodcast/denversnufferpodcast.com/episodes/025_Sacrifice_v1.mp3,7258,,72182408,,URL,Denver Snuffer Podcast,,2018-07-01 20:30:36,Podcast,,3573000,3640780650,,Denver Snuffer
2021-12-30 22:58:18,True,0133EF0EAD6251E8,26: Defending Zion,,True,,2019-05-15 21:57:30,True,,,http://media.blubrry.com/denversnufferpodcast/denversnufferpodcast.com/episodes/026_Defending-Zion_v1.mp3,7260,,45678049,,URL,Denver Snuffer Podcast,,2018-07-08 18:35:04,Podcast,,2248000,3640780650,,Denver Snuffer
2021-12-30 22:58:18,True,6FFFBF9097771735,27: Generation,,True,,2019-05-15 21:57:30,True,,,http://media.blubrry.com/denversnufferpodcast/denversnufferpodcast.com/episodes/027_Generation_v1.mp3,7262,,43811339,,URL,Denver Snuffer Podcast,,2018-07-15 19:30:18,Podcast,,2155000,3640780650,,Denver Snuffer
2021-12-30 22:58:18,True,9124E55B28FBA8AD,28: Adam-ondi-Ahman,,True,,2019-05-15 21:57:30,True,,,http://media.blubrry.com/denversnufferpodcast/denversnufferpodcast.com/episodes/028_Adam-ondi-Ahman_v1.mp3,7264,,47165900,,URL,Denver Snuffer Podcast,,2018-07-23 01:10:56,Podcast,,2322000,3640780650,,Denver Snuffer
2021-12-30 22:58:18,True,F07500C16A515BEA,29: Patriarchal Blessings,,True,,2019-05-15 21:57:30,True,,,http://media.blubrry.com/denversnufferpodcast/denversnufferpodcast.com/episodes/029_Patriarchal-Blessings_v1.mp3,7266,,26861005,,URL,Denver Snuffer Podcast,,2018-08-05 17:31:21,Podcast,,1307000,3640780650,,Denver Snuffer
2021-12-30 22:58:18,True,5AA9D0C8E2113D29,30: How the Restoration Has Fallen!,,True,,2019-05-15 21:57:30,True,,,http://media.blubrry.com/denversnufferpodcast/denversnufferpodcast.com/episodes/030_How-the-Restoration-Has-Fallen_v1.mp3,7268,,59329119,,URL,Denver Snuffer Podcast,,2018-08-08 14:15:33,Podcast,,2931000,3640780650,,Denver Snuffer
2021-12-30 22:58:18,True,00917259B6A993E9,31: Priestcraft,,True,,2019-05-15 21:57:30,True,,,http://media.blubrry.com/denversnufferpodcast/denversnufferpodcast.com/episodes/031_Priestcraft_v1.mp3,7270,,63559389,,URL,Denver Snuffer Podcast,,2018-08-17 04:18:22,Podcast,,3142000,3640780650,,Denver Snuffer
2021-12-30 22:58:18,True,089B0AC5E25CB7E0,"32: Temple, Part 1",,True,,2019-05-15 21:57:30,True,,,http://media.blubrry.com/denversnufferpodcast/denversnufferpodcast.com/episodes/032_Temple_1_v1.mp3,7272,,64451212,,URL,Denver Snuffer Podcast,,2018-09-01 23:28:31,Podcast,,3187000,3640780650,,Denver Snuffer
2021-12-30 22:58:18,True,6780F6F90F543DE8,"33: Temple, Part 2",,True,,2019-05-15 21:57:30,True,,,http://media.blubrry.com/denversnufferpodcast/denversnufferpodcast.com/episodes/033_Temple_2_v1.mp3,7274,,66867538,,URL,Denver Snuffer Podcast,,2018-09-04 20:05:09,Podcast,,3308000,3640780650,,Denver Snuffer
