date_added,persistent_id,name,kind,podcast,bitrate,play_date_utc,unplayed,location,track_id,play_count,size,artwork_count,track_type,album,sort_name,date_modified,release_date,genre,sample_rate,total_time,play_date,year,artist
2022-05-21 23:04:05,49DC5F90017BFC85,Doctrine & Covenants 76 : followHIM Favorites,,True,,,True,https://chrt.fm/track/534B95/www.buzzsprout.com/1558370/8814117-doctrine-covenants-76-followhim-favorites.mp3,17572,,3536106,,URL,"Follow Him: A Come, Follow Me Podcast",,,2021-07-05 16:00:00,Podcast,,289000,,,Hank Smith & John Bytheway
2022-05-21 23:04:05,EC93F04067C9B5F2,Doctrine & Covenants 77-80 Part 1 : Dr. Craig K. Manscill,,True,,,True,https://chrt.fm/track/534B95/www.buzzsprout.com/1558370/8836683-doctrine-covenants-77-80-part-1-dr-craig-k-manscill.mp3,17574,,50240667,,URL,"Follow Him: A Come, Follow Me Podcast",,,2021-07-10 00:00:00,Podcast,,4184000,,,Hank Smith & John Bytheway
2022-05-21 23:04:05,E9C8BFF9C2B1533B,Doctrine & Covenants 77-80 Part 2 : Dr. Craig K. Manscill,,True,,,True,https://chrt.fm/track/534B95/www.buzzsprout.com/1558370/8836862-doctrine-covenants-77-80-part-2-dr-craig-k-manscill.mp3,17576,,41807021,,URL,"Follow Him: A Come, Follow Me Podcast",,,2021-07-11 00:00:00,Podcast,,3481000,,,
2022-05-21 23:04:05,EBDB1C4F2CAD2DCE,Doctrine & Covenants 77-80 : followHIM Favorites,,True,,,True,https://chrt.fm/track/534B95/www.buzzsprout.com/1558370/8853000-doctrine-covenants-77-80-followhim-favorites.mp3,17578,,3353986,,URL,"Follow Him: A Come, Follow Me Podcast",,,2021-07-12 22:00:00,Podcast,,273000,,,Hank Smith & John Bytheway
2022-05-21 23:04:05,C60F04CA4549CFAA,Doctrine & Covenants 81-83 Part 1 : Dr. Matthew C. Godfrey,,True,,,True,https://chrt.fm/track/534B95/www.buzzsprout.com/1558370/8866848-doctrine-covenants-81-83-part-1-dr-matthew-c-godfrey.mp3,17580,,42357743,,URL,"Follow Him: A Come, Follow Me Podcast",,,2021-07-17 00:00:00,Podcast,,3526000,,,Hank Smith & John Bytheway
2022-05-21 23:04:05,A8140ED41443EA26,Doctrine & Covenants 81-83 Part 2 : Dr. Matthew C. Godfrey,,True,,,True,https://chrt.fm/track/534B95/www.buzzsprout.com/1558370/8873092-doctrine-covenants-81-83-part-2-dr-matthew-c-godfrey.mp3,17582,,39048133,,URL,"Follow Him: A Come, Follow Me Podcast",,,2021-07-18 00:00:00,Podcast,,3250000,,,Hank Smith & John Bytheway
2022-05-21 23:04:05,01B2F5F199105816,Doctrine & Covenants 84 Part 1 : Dr. Barbara Gardner,,True,,,True,https://chrt.fm/track/534B95/www.buzzsprout.com/1558370/8904872-doctrine-covenants-84-part-1-dr-barbara-gardner.mp3,17584,,46121817,,URL,"Follow Him: A Come, Follow Me Podcast",,,2021-07-24 00:00:00,Podcast,,3841000,,,Hank Smith & John Bytheway
2022-05-21 23:04:05,6BB0E5E6F1D343A9,Doctrine & Covenants 84 Part 2 : Dr. Barbara Gardner,,True,,,True,https://chrt.fm/track/534B95/www.buzzsprout.com/1558370/8912534-doctrine-covenants-84-part-2-dr-barbara-gardner.mp3,17586,,43258274,,URL,"Follow Him: A Come, Follow Me Podcast",,,2021-07-25 00:00:00,Podcast,,3602000,,,Hank Smith & John Bytheway
2022-05-21 23:04:05,1C62AD6F0B6E682B,Doctrine & Covenants 84 : followHIM Favorites,,True,,,True,https://chrt.fm/track/534B95/www.buzzsprout.com/1558370/8927184-doctrine-covenants-84-followhim-favorites.mp3,17588,,2708860,,URL,"Follow Him: A Come, Follow Me Podcast",,,2021-07-27 00:00:00,Podcast,,220000,,,Hank Smith & John Bytheway
2022-05-21 23:04:05,9AAB8E7931252A91,Doctrine & Covenants 85-87 Part 1 : Dr. Ken Alford,,True,,,True,https://chrt.fm/track/534B95/www.buzzsprout.com/1558370/8935002-doctrine-covenants-85-87-part-1-dr-ken-alford.mp3,17590,,48003782,,URL,"Follow Him: A Come, Follow Me Podcast",,,2021-07-31 00:00:00,Podcast,,3998000,,,Hank Smith & John Bytheway
2022-05-21 23:04:05,4D5591D77AC681FE,Doctrine & Covenants 85-87 Part 2 : Dr. Ken Alford,,True,,,True,https://chrt.fm/track/534B95/www.buzzsprout.com/1558370/8940732-doctrine-covenants-85-87-part-2-dr-ken-alford.mp3,17592,,53954371,,URL,"Follow Him: A Come, Follow Me Podcast",,,2021-08-01 00:00:00,Podcast,,4494000,,,Hank Smith & John Bytheway
2022-05-21 23:04:05,5A822C18610EA600,Doctrine & Covenants 85-87 : followHIM Favorites,,True,,,True,https://chrt.fm/track/534B95/www.buzzsprout.com/1558370/8953642-doctrine-covenants-85-87-followhim-favorites.mp3,17594,,4295335,,URL,"Follow Him: A Come, Follow Me Podcast",,,2021-08-01 14:00:00,Podcast,,352000,,,Hank Smith & John Bytheway
2022-05-21 23:04:05,98C2254B040FA3B2,Doctrine & Covenants 88 Part 1 : Dr. Anthony Sweat,,True,,,True,https://chrt.fm/track/534B95/www.buzzsprout.com/1558370/8970767-doctrine-covenants-88-part-1-dr-anthony-sweat.mp3,17596,,41159179,,URL,"Follow Him: A Come, Follow Me Podcast",,,2021-08-07 00:00:00,Podcast,,3425000,,,Hank Smith & John Bytheway
2022-05-21 23:04:05,3689310D0457F870,Doctrine & Covenants 88 Part 2 : Dr. Anthony Sweat,,True,,,True,https://chrt.fm/track/534B95/www.buzzsprout.com/1558370/8972867-doctrine-covenants-88-part-2-dr-anthony-sweat.mp3,17598,,49949057,,URL,"Follow Him: A Come, Follow Me Podcast",,,2021-08-08 00:00:00,Podcast,,4159000,,,Hank Smith & John Bytheway
2022-05-21 23:04:05,E122596252E8FE3B,Doctrine & Covenants 88 : followHIM Favorites with Dr. Anthony Sweat,,True,,,True,https://chrt.fm/track/534B95/www.buzzsprout.com/1558370/8973138-doctrine-covenants-88-followhim-favorites-with-dr-anthony-sweat.mp3,17600,,6899678,,URL,"Follow Him: A Come, Follow Me Podcast",,,2021-08-08 15:00:00,Podcast,,569000,,,Hank Smith & John Bytheway
2022-05-21 23:04:05,9F43DF111F27BE18,Doctrine & Covenants 89-92 Part 1 : Dr. Jed Woodworth,,True,,,True,https://chrt.fm/track/534B95/www.buzzsprout.com/1558370/9010837-doctrine-covenants-89-92-part-1-dr-jed-woodworth.mp3,17602,,48579410,,URL,"Follow Him: A Come, Follow Me Podcast",,,2021-08-14 00:00:00,Podcast,,4045000,,,Hank Smith & John Bytheway
2022-05-21 23:04:05,5E8C4EC16637B928,Doctrine & Covenants 89-92 Part 2 : Dr. Jed Woodworth,,True,,,True,https://chrt.fm/track/534B95/www.buzzsprout.com/1558370/9010836-doctrine-covenants-89-92-part-2-dr-jed-woodworth.mp3,17604,,51636991,,URL,"Follow Him: A Come, Follow Me Podcast",,,2021-08-15 00:00:00,Podcast,,4300000,,,Hank Smith & John Bytheway
2022-05-21 23:04:05,BF54B5DEAC3BD671,Doctrine & Covenants 89-92 : followHIM Favorites with Dr. Jed Woodworth,,True,,,True,https://chrt.fm/track/534B95/www.buzzsprout.com/1558370/9041351-doctrine-covenants-89-92-followhim-favorites-with-dr-jed-woodworth.mp3,17606,,6349232,,URL,"Follow Him: A Come, Follow Me Podcast",,,2021-08-17 14:00:00,Podcast,,523000,,,Hank Smith & John Bytheway
2022-05-21 23:04:05,A5EB97187A098B3F,Doctrine & Covenants 93 Part 1 : Dr. Casey Griffiths,,True,,,True,https://chrt.fm/track/534B95/www.buzzsprout.com/1558370/9055342-doctrine-covenants-93-part-1-dr-casey-griffiths.mp3,17608,,38486304,,URL,"Follow Him: A Come, Follow Me Podcast",,,2021-08-21 00:00:00,Podcast,,3205000,,,Hank Smith & John Bytheway
2022-05-21 23:04:05,24B5DDCAD6A8355B,Doctrine & Covenants 93 Part 2 : Dr. Casey Griffiths,,True,,,True,https://chrt.fm/track/534B95/www.buzzsprout.com/1558370/9055367-doctrine-covenants-93-part-2-dr-casey-griffiths.mp3,17610,,43951328,,URL,"Follow Him: A Come, Follow Me Podcast",,,2021-08-22 00:00:00,Podcast,,3660000,,,Hank Smith & John Bytheway
2022-05-21 23:04:05,6455D0ADF5E1EA10,Doctrine & Covenants 93 : followHIM Favorites with Dr. Casey Griffiths,,True,,,True,https://chrt.fm/track/534B95/www.buzzsprout.com/1558370/9076590-doctrine-covenants-93-followhim-favorites-with-dr-casey-griffiths.mp3,17612,,6310673,,URL,"Follow Him: A Come, Follow Me Podcast",,,2021-08-24 01:00:00,Podcast,,520000,,,Hank Smith & John Bytheway
2022-05-21 23:04:05,F2A36DAB5A8280B4,Doctrine & Covenants 94-97 Part 1 : Dr. Susan Easton Black,,True,,,True,https://chrt.fm/track/534B95/www.buzzsprout.com/1558370/9086841-doctrine-covenants-94-97-part-1-dr-susan-easton-black.mp3,17614,,36155246,,URL,"Follow Him: A Come, Follow Me Podcast",,,2021-08-28 00:00:00,Podcast,,3007000,,,Hank Smith & John Bytheway
