date_added,persistent_id,name,kind,podcast,bitrate,play_date_utc,unplayed,location,file_folder_count,track_id,play_count,size,artwork_count,library_folder_count,track_type,album,date_modified,release_date,genre,sample_rate,total_time,play_date,year,artist
2021-12-30 22:58:16,8DF09D0B06D50D6C,"#121 python2 becomes self-aware, enters fifth stage of grief",,True,,,True,https://pythonbytes.fm/episodes/download/121/python2-becomes-self-aware-enters-fifth-stage-of-grief.mp3,,6922,,22702910,,,URL,Python Bytes,,2019-03-16 08:00:00,Podcast,,1414000,,,Michael Kennedy (@mkennedy)
2021-12-30 22:58:16,6B567A549DC341F7,#122 Give Me Back My Monolith,,True,,,True,https://pythonbytes.fm/episodes/download/122/give-me-back-my-monolith.mp3,,6924,,28012585,,,URL,Python Bytes,,2019-03-22 08:00:00,Podcast,,1746000,,,Michael Kennedy (@mkennedy)
2021-12-30 22:58:16,9A0793A09B5307F5,#123 Time to right the py-wrongs,,True,,,True,https://pythonbytes.fm/episodes/download/123/time-to-right-the-py-wrongs.mp3,,6926,,24586105,,,URL,Python Bytes,,2019-03-29 08:00:00,Podcast,,1531000,,,Michael Kennedy (@mkennedy)
2021-12-30 22:58:16,7F7F75ABB55A1429,#124 This is not the None you're looking for,,True,,,True,https://pythonbytes.fm/episodes/download/124/this-is-not-the-none-youre-looking-for.mp3,,6928,,26657171,,,URL,Python Bytes,,2019-04-05 08:00:00,Podcast,,1661000,,,Michael Kennedy (@mkennedy)
2021-12-30 22:58:16,7E144724957C1680,#125 Will you conquer the deadlock empire?,,True,,,True,https://pythonbytes.fm/episodes/download/125/will-you-conquer-the-deadlock-empire.mp3,,6930,,30585649,,,URL,Python Bytes,,2019-04-13 08:00:00,Podcast,,1906000,,,Michael Kennedy (@mkennedy)
2021-12-30 22:58:16,E82835578840BFD1,#126 WebAssembly comes to Python,,True,,,True,https://pythonbytes.fm/episodes/download/126/webassembly-comes-to-python.mp3,,6932,,29038442,,,URL,Python Bytes,,2019-04-19 08:00:00,Podcast,,1810000,,,Michael Kennedy (@mkennedy)
2021-12-30 22:58:16,E9CF80D4AA0173AA,#127 That Python code is on fire!,,True,,,True,https://pythonbytes.fm/episodes/download/127/that-python-code-is-on-fire.mp3,,6934,,24000488,,,URL,Python Bytes,,2019-04-25 08:00:00,Podcast,,1495000,,,Michael Kennedy (@mkennedy)
2021-12-30 22:58:16,901C255D812A48BC,#128 Will the GIL be obsolete with PEP 554?,,True,,,True,https://pythonbytes.fm/episodes/download/128/will-the-gil-be-obsolete-with-pep-554.mp3,,6936,,22180403,,,URL,Python Bytes,,2019-05-02 08:00:00,Podcast,,1381000,,,Michael Kennedy (@mkennedy)
2021-12-30 22:58:16,C46C57253017E597,#129 Maintaining a Python Project when it’s not your job,,True,,,True,https://pythonbytes.fm/episodes/download/129/maintaining-a-python-project-when-it-s-not-your-job.mp3,,6938,,16076662,,,URL,Python Bytes,,2019-05-06 08:00:00,Podcast,,1000000,,,Michael Kennedy (@mkennedy)
2021-12-30 22:58:16,94024FE1090AB7D6,#130 Python.exe now shipping with Windows 10,,True,,,True,https://pythonbytes.fm/episodes/download/130/python.exe-now-shipping-with-windows-10.mp3,,6940,,23227863,,,URL,Python Bytes,,2019-05-14 08:00:00,Podcast,,1447000,,,Michael Kennedy (@mkennedy)
2021-12-30 22:58:16,1F005BBF3B7A9A4E,#131 Python 3 has issues (over on GitHub),,True,,,True,https://pythonbytes.fm/episodes/download/131/python-3-has-issues-over-on-github.mp3,,6942,,26249823,,,URL,Python Bytes,,2019-05-21 08:00:00,Podcast,,1635000,,,Michael Kennedy (@mkennedy)
