date_added,persistent_id,name,kind,podcast,bitrate,unplayed,location,file_folder_count,track_id,size,library_folder_count,track_type,album,date_modified,release_date,genre,sample_rate,total_time,year,artist,normalization
2021-12-30 22:54:06,696BF9D86974D3C9,Dialogue Lectures #49 w/ Benjamin Park,MPEG audio file,True,129,True,file://localhost/C:/Users/bruce/Music/iTunes/iTunes Media/Podcasts/Dialogue Journal Podcast/Dialogue Lectures #49 w_ Benjamin Pa 1.mp3,4,4766,82530878,1,File,Dialogue Journal Podcast,2020-03-19 20:02:54,2020-03-17 21:34:45,Podcast,44100,5081338,2020,Dialogue Journal Podcast,
2021-12-30 22:54:06,3893AF675826112C,Dialogue Sunday School #1 w/ Rosalynde Welch,MPEG audio file,True,128,True,file://localhost/C:/Users/bruce/Music/iTunes/iTunes Media/Podcasts/Dialogue Journal Podcast/Dialogue Sunday School #1 w_ Rosalyn 1.mp3,4,4770,58179444,1,File,Dialogue Journal Podcast,2020-03-30 17:07:44,2020-03-29 19:48:29,Podcast,32000,3608712,2020,Dialogue Journal Podcast,
2021-12-30 22:54:06,BEA608D1E23F5F3F,Dialogue Heritage #3,MPEG audio file,True,128,True,file://localhost/C:/Users/bruce/Music/iTunes/iTunes Media/Podcasts/Dialogue Journal Podcast/Dialogue Heritage #3 1.mp3,4,4772,55778788,1,File,Dialogue Journal Podcast,2020-04-09 20:29:50,2020-04-01 18:17:31,Podcast,44100,3486040,2020,Dialogue Journal Podcast,368
