date_added,persistent_id,name,kind,podcast,bitrate,play_date_utc,unplayed,location,file_folder_count,track_id,size,library_folder_count,track_type,album,sort_name,date_modified,release_date,genre,sample_rate,total_time,play_date,year
2022-01-04 02:36:47,08A86CDAD49D551E,"63: How to Withstand Nuclear Fallout, GMO Foods and Your Aunt Beth",,True,,,True,https://traffic.libsyn.com/secure/forbiddendoctor/63_63__How_to_Withstand_Nuclear_Fallout_GMO_Foods_and_Your_Aunt_Beth.mp3?dest-id=228963,,16208,25926029,,URL,Forbidden Doctor: Revealing Forbidden Health Secrets!,,,2016-04-08 12:24:10,Podcast,,2557000,,
2022-01-04 02:36:47,684DD18057C39860,64: PMS - A Hurricane of Symptoms - For Every Cycling Woman and the Man who Loves Her,,True,,,True,https://traffic.libsyn.com/secure/forbiddendoctor/64__PMS_-_A_Hurricane_of_Symptoms_-_For_Every_Cycling_Woman_and_the_Man_who_Loves_Her.mp3?dest-id=228963,,16210,33198973,,URL,Forbidden Doctor: Revealing Forbidden Health Secrets!,,,2016-04-15 16:00:00,Podcast,,3285000,,
2022-01-04 02:36:47,67A0138C2E286198,65: Menopause - Magnificence or Madness,,True,,,True,https://traffic.libsyn.com/secure/forbiddendoctor/65_65__Menopause_-_Magnificence_or_Madness.mp3?dest-id=228963,,16212,34040115,,URL,Forbidden Doctor: Revealing Forbidden Health Secrets!,,,2016-04-22 16:00:00,Podcast,,3369000,,
2022-01-04 02:36:47,218BDCFF09C2C2CC,66: Trust Your Body. Believe Your Heart. Your Life Depends On It.,,True,,,True,https://traffic.libsyn.com/secure/forbiddendoctor/66_66__Trust_Your_Body._Believe_Your_Heart._Your_Life_Depends_On_It..mp3?dest-id=228963,,16214,30690446,,URL,Forbidden Doctor: Revealing Forbidden Health Secrets!,,,2016-04-29 16:00:00,Podcast,,3034000,,
2022-01-04 02:36:47,9BA08D112EE19657,67: Just What Is...Cancer?,,True,,,True,https://traffic.libsyn.com/secure/forbiddendoctor/Episode_67_Just_What_Is...Cancer_Part_1.mp3?dest-id=228963,,16216,52273422,,URL,Forbidden Doctor: Revealing Forbidden Health Secrets!,,,2016-05-04 17:02:37,Podcast,,3264000,,
2022-01-04 02:36:47,FB6DA6E6F07417D0,68: Just What Is...Cancer? Pt 2,,True,,,True,https://traffic.libsyn.com/secure/forbiddendoctor/Episode_68_Just_What_Is...Cancer_Part_2.mp3?dest-id=228963,,16218,61495886,,URL,Forbidden Doctor: Revealing Forbidden Health Secrets!,,,2016-05-13 08:00:00,Podcast,,3839000,,
2022-01-04 02:36:47,D913F6FAB2DD8B25,"69: Autism Revisited, Plus The 3rd Leading Cause of Death in America",,True,,,True,https://traffic.libsyn.com/secure/forbiddendoctor/Episode_69_What_is_the_3rd_cause_of_death_in_America_and_Autism_revisited.mp3?dest-id=228963,,16220,51828414,,URL,Forbidden Doctor: Revealing Forbidden Health Secrets!,,,2016-05-20 17:03:35,Podcast,,3236000,,
2022-01-04 02:36:47,5BE99BCCCF466030,70: 10 Terrible Health Food Myths,,True,,,True,https://traffic.libsyn.com/secure/forbiddendoctor/Episode_70_Ten_Terrible_Foods_to_Avoid_Immediately.mp3?dest-id=228963,,16222,49019005,,URL,Forbidden Doctor: Revealing Forbidden Health Secrets!,,,2016-05-27 15:44:38,Podcast,,3061000,,
2022-01-04 02:36:47,04D46FAFED6BF8CE,71: A Most Butcherous Story,,True,,,True,https://traffic.libsyn.com/secure/forbiddendoctor/Episode_71_A_Most_Butcherous_Story.mp3?dest-id=228963,,16224,55435218,,URL,Forbidden Doctor: Revealing Forbidden Health Secrets!,,,2016-06-03 18:08:43,Podcast,,3462000,,
2022-01-04 02:36:47,FEA03785F6599B37,72: Do You Really Have To Take Those Antibiotics?,,True,,,True,https://traffic.libsyn.com/secure/forbiddendoctor/Episode_72_Do_You_Really_Have_To_Take_Antibiotics.mp3?dest-id=228963,,16226,32458223,,URL,Forbidden Doctor: Revealing Forbidden Health Secrets!,,,2016-06-10 15:08:41,Podcast,,2026000,,
