date_added,persistent_id,name,kind,podcast,bitrate,play_date_utc,unplayed,comments,location,file_folder_count,track_id,size,library_folder_count,track_type,album,date_modified,release_date,genre,sample_rate,total_time,play_date,year,artist
2021-12-30 22:54:06,A52020531C667139,Exploring Behind the Veil Experiences and NDE's,MPEG audio file,True,126,2019-12-21 21:48:36,True, 00000000 00000210 00000AF5 00000000000FFF7B 00000000 000B8B1B 00000000 00000000 00000000 00000000 00000000 00000000,file://localhost/C:/Users/bruce/Music/iTunes/iTunes Media/Podcasts/Cedar Fort Publishing and Media_ Behind/Exploring Behind the Veil Experience 1.mp3,4,4738,101500571,1,File,Cedar Fort Publishing and Media: Behind the Scenes,2019-12-27 07:02:52,2019-12-02 07:00:25,Podcast,44100,6423275,3659784516,2019,"Lee Nelson, Jane moe, valerie loveless, russel ricks"
2021-12-30 22:54:06,E236FA0469DE39E1,"Gay Man Steals a Book of Mormon from a Hotel, then Joins the Church: Dennis Schleicher",MPEG audio file,True,128,,True,,file://localhost/C:/Users/bruce/Music/iTunes/iTunes Media/Podcasts/Cedar Fort Publishing and Media_ Behind/Gay Man Steals a Book of Mormon from 1.mp3,4,4758,77178814,1,File,Cedar Fort Publishing and Media: Behind the Scenes,2020-03-07 18:56:12,2020-02-17 07:00:11,Podcast,44100,4822961,,2020,"Valerie Loveless, Dennis Schleicher"
2021-12-30 22:54:06,EEF8DEAF3B175125,Finding the Temple in the Book of Mormon,MPEG audio file,True,127,,True, 00000000 00000210 00000AF5 00000000000FFF7B 00000000 000B8B1B 00000000 00000000 00000000 00000000 00000000 00000000,file://localhost/C:/Users/bruce/Music/iTunes/iTunes Media/Podcasts/Cedar Fort Publishing and Media_ Behind/Finding the Temple in the Book of Mo 1.mp3,4,4764,54946048,1,File,Cedar Fort Publishing and Media: Behind the Scenes,2020-03-19 20:01:58,2020-02-24 07:00:02,Podcast,44100,3455947,,2020,"Valiant Jones, Valerie Loveless"
