date_added,persistent_id,name,kind,podcast,bitrate,play_date_utc,unplayed,location,file_folder_count,track_id,play_count,size,library_folder_count,track_type,album,date_modified,release_date,genre,sample_rate,total_time,play_date,year,artist
2022-01-04 02:36:38,CDD33FD3D9B2E92E,"Software at Scale 1 - Alexey Ivanov: Principal Engineer, Infrastructure at Dropbox",,True,,,True,https://api.substack.com/feed/podcast/20908285/934d9e2a8304e7b19de324493717d522.mp3,,15860,,,,URL,Software at Scale,,2020-12-06 18:09:03,Podcast,,2971000,,,Utsav Shah
2022-01-04 02:36:38,876568ACB81242A0,"Software at Scale 2 - Christine Dodrill: ex-SRE, Lightspeed",,True,,,True,https://api.substack.com/feed/podcast/20908284/016095fe410094b24e5ff44ea387bf9f.mp3,,15862,,,,URL,Software at Scale,,2020-12-07 08:35:48,Podcast,,4196000,,,Utsav Shah
2022-01-04 02:36:38,D3DB564B3FB73439,"Software at Scale 3 - Bharat Mediratta: ex-CTO, Dropbox",,True,,,True,https://api.substack.com/feed/podcast/26214363/c26d1209af7b18f8593e11462adb2d03.mp3,,15864,,,,URL,Software at Scale,,2020-12-19 06:32:00,Podcast,,5543000,,,Utsav Shah
2022-01-04 02:36:38,9193D73E5E413C79,"Software at Scale 4 - Akshay Shekhar: Software Engineer, AWS",,True,,,True,https://api.substack.com/feed/podcast/28934175/10ad12215b800058816221ef9267c400.mp3,,15866,,,,URL,Software at Scale,,2020-12-26 18:00:15,Podcast,,4822000,,,Utsav Shah
2022-01-04 02:36:38,FB29E3FEBB32E45F,Software at Scale 5 - Kyle Consalus,,True,,,True,https://api.substack.com/feed/podcast/31171329/a9a94de301ca9283cc3b6650cc846273.mp3,,15868,,,,URL,Software at Scale,,2021-01-09 20:00:45,Podcast,,,,,Utsav Shah
2022-01-04 02:36:38,C7B4CF66BB14F7D1,Software at Scale 6 - Distributed Systems with Indranil Gupta,,True,,,True,https://api.substack.com/feed/podcast/31578013/a30037426925f58dec321f72c027ac73.mp3,,15870,,,,URL,Software at Scale,,2021-01-16 22:55:06,Podcast,,4757000,,,Utsav Shah
2022-01-04 02:36:38,E5EA0B26F62E8F8A,"Software at Scale 7 - Charity Majors: CTO, Honeycomb",,True,,,True,https://api.substack.com/feed/podcast/31839348/e46b5e5686b67ba7d5e8de13a3339602.mp3,,15872,,,,URL,Software at Scale,,2021-01-25 16:00:01,Podcast,,,,,Utsav Shah
2022-01-04 02:36:38,5885B396A08830AA,"Software at Scale 8 - Farhan Thawar: VP Engineering, Shopify",,True,,,True,https://api.substack.com/feed/podcast/32075143/967a233aa7d6cac5b5dff76f17477dcb.mp3,,15874,,,,URL,Software at Scale,,2021-02-01 16:00:03,Podcast,,4673000,,,Utsav Shah
2022-01-04 02:36:38,CD514EECFCCA61EF,"Software at Scale 9 - Beyang Liu: CTO, Sourcegraph",,True,,,True,https://api.substack.com/feed/podcast/32505684/a9c5e5bf7054ded55532815eee15db70.mp3,,15876,,,,URL,Software at Scale,,2021-02-15 01:42:49,Podcast,,4934000,,,Utsav Shah
2022-01-04 02:36:38,2DAE02DC28D36628,"Software at Scale 10 - David Cramer: CTO, Sentry",,True,,,True,https://api.substack.com/feed/podcast/32869309/01fd91bdc8704f741f1c61548d77ba46.mp3,,15878,,,,URL,Software at Scale,,2021-02-24 00:43:02,Podcast,,4404000,,,Utsav Shah
2022-01-04 02:36:38,B3AFAD05B3A09E3F,"Software at Scale 11 - Barak Schoster: CEO, BridgeCrew",,True,,,True,https://api.substack.com/feed/podcast/33228149/b850938e8a29569ef708185498c7426c.mp3,,15880,,,,URL,Software at Scale,,2021-03-04 18:00:55,Podcast,,2295000,,,Utsav Shah
2022-01-04 02:36:38,32742C8669DBB90A,"Software at Scale 12 - John Micco: Cloud Transformation Architect, VMWare",,True,,,True,https://api.substack.com/feed/podcast/33673168/dfc9b4a780ba4d3cf34170ab05ce7c3a.mp3,,15882,,,,URL,Software at Scale,,2021-03-13 21:25:31,Podcast,,5695000,,,Utsav Shah
2022-01-04 02:36:38,86F37E8B1FB18598,"Software at Scale 13 - Emma Tang: ex Data Infrastructure Lead, Stripe",,True,,,True,https://api.substack.com/feed/podcast/34138377/b0d043d93692c61c0647f442b50f55c9.mp3,,15884,,,,URL,Software at Scale,,2021-03-21 21:19:21,Podcast,,2460000,,,Utsav Shah
2022-01-04 02:36:38,F34C963190F48480,"Software at Scale 14 - Liran Haimovitch: CTO, Rookout",,True,,,True,https://api.substack.com/feed/podcast/34190194/d80accba1837cd304f156c6fe98f7091.mp3,,15886,,,,URL,Software at Scale,,2021-03-23 13:30:32,Podcast,,2404000,,,Utsav Shah
2022-01-04 02:36:38,3AA2B4D35B691631,"Software at Scale 15 - Ben Sigelman: CEO, Lightstep",,True,,,True,https://api.substack.com/feed/podcast/34747723/01f700e5c99febd5c906251ea5524a3c.mp3,,15888,,,,URL,Software at Scale,,2021-04-04 18:00:35,Podcast,,3264000,,,Utsav Shah
2022-01-04 02:36:38,A8C51B5D05EBED15,"Software at Scale 16 - Nipunn Koorapati: ex Software Engineer, Dropbox",,True,,,True,https://api.substack.com/feed/podcast/35093199/f0d7e3f623bffd669231c38ca1c5cbd8.mp3,,15890,,,,URL,Software at Scale,,2021-04-13 16:25:20,Podcast,,4526000,,,Utsav Shah
