unplayed,date_added,release_date,location,persistent_id,name,total_time,genre,podcast,track_id,artist,track_type,album
True,2021-12-30 22:58:16,2020-08-09 17:00:00,https://www.isaiahexplained.com/media/commentary/Isaiah23.mp3,B0BD7221A1B4B324,Isaiah 23,523000,Podcast,True,5190,"Avraham Gileadi, Ph.D., the Isaiah Institute",URL,Analytical Commentary of Isaiah
True,2021-12-30 22:58:16,2020-08-08 17:00:00,https://www.isaiahexplained.com/media/commentary/Isaiah24.mp3,C0A8763DA56653B1,Isaiah 24,1288000,Podcast,True,5188,"Avraham Gileadi, Ph.D., the Isaiah Institute",URL,Analytical Commentary of Isaiah
True,2021-12-30 22:58:16,2020-08-07 17:00:00,https://www.isaiahexplained.com/media/commentary/Isaiah25.mp3,117AA2EAC4BBC6BA,Isaiah 25,707000,Podcast,True,5186,"Avraham Gileadi, Ph.D., the Isaiah Institute",URL,Analytical Commentary of Isaiah
True,2021-12-30 22:58:16,2020-08-06 17:00:00,https://www.isaiahexplained.com/media/commentary/Isaiah26.mp3,2E6C4E5108CCA1A3,Isaiah 26,1300000,Podcast,True,5184,"Avraham Gileadi, Ph.D., the Isaiah Institute",URL,Analytical Commentary of Isaiah
True,2021-12-30 22:58:16,2020-08-05 17:00:00,https://www.isaiahexplained.com/media/commentary/Isaiah27.mp3,F6704BBCD3F0D47F,Isaiah 27,608000,Podcast,True,5182,"Avraham Gileadi, Ph.D., the Isaiah Institute",URL,Analytical Commentary of Isaiah
True,2021-12-30 22:58:16,2020-08-04 17:00:00,https://www.isaiahexplained.com/media/commentary/Isaiah28.mp3,4A3C6E810DF281CC,Isaiah 28,2437000,Podcast,True,5180,"Avraham Gileadi, Ph.D., the Isaiah Institute",URL,Analytical Commentary of Isaiah
True,2021-12-30 22:58:16,2020-08-03 17:00:00,https://www.isaiahexplained.com/media/commentary/Isaiah29.mp3,A2925E84F9ADCC00,Isaiah 29,1596000,Podcast,True,5178,"Avraham Gileadi, Ph.D., the Isaiah Institute",URL,Analytical Commentary of Isaiah
True,2021-12-30 22:58:16,2020-08-02 17:00:00,https://www.isaiahexplained.com/media/commentary/Isaiah30.mp3,5796B3041B5B6196,Isaiah 30,2207000,Podcast,True,5176,"Avraham Gileadi, Ph.D., the Isaiah Institute",URL,Analytical Commentary of Isaiah
True,2021-12-30 22:58:16,2020-08-01 17:00:00,https://www.isaiahexplained.com/media/commentary/Isaiah31.mp3,82894ADAE48A9D52,Isaiah 31,608000,Podcast,True,5174,"Avraham Gileadi, Ph.D., the Isaiah Institute",URL,Analytical Commentary of Isaiah
True,2021-12-30 22:58:16,2020-07-31 17:00:00,https://www.isaiahexplained.com/media/commentary/Isaiah32.mp3,C83F6FF8B76F167E,Isaiah 32,1141000,Podcast,True,5172,"Avraham Gileadi, Ph.D., the Isaiah Institute",URL,Analytical Commentary of Isaiah
True,2021-12-30 22:58:16,2020-07-30 17:00:00,https://www.isaiahexplained.com/media/commentary/Isaiah33.mp3,C4EDC8BF64D6EA3D,Isaiah 33,1691000,Podcast,True,5170,"Avraham Gileadi, Ph.D., the Isaiah Institute",URL,Analytical Commentary of Isaiah
True,2021-12-30 22:58:16,2020-07-29 17:00:00,https://www.isaiahexplained.com/media/commentary/Isaiah34.mp3,3CB8DBC1EA415033,Isaiah 34,988000,Podcast,True,5168,"Avraham Gileadi, Ph.D., the Isaiah Institute",URL,Analytical Commentary of Isaiah
True,2021-12-30 22:58:16,2020-07-28 17:00:00,https://www.isaiahexplained.com/media/commentary/Isaiah35.mp3,C0B8E014B4A5EE8F,Isaiah 35,601000,Podcast,True,5166,"Avraham Gileadi, Ph.D., the Isaiah Institute",URL,Analytical Commentary of Isaiah
True,2021-12-30 22:58:16,2020-07-27 17:00:00,https://www.isaiahexplained.com/media/commentary/Isaiah36.mp3,499DA1F2D3E7D378,Isaiah 36,1530000,Podcast,True,5164,"Avraham Gileadi, Ph.D., the Isaiah Institute",URL,Analytical Commentary of Isaiah
True,2021-12-30 22:58:16,2020-07-26 17:00:00,https://www.isaiahexplained.com/media/commentary/Isaiah37.mp3,9FC34ED530B6A207,Isaiah 37,2689000,Podcast,True,5162,"Avraham Gileadi, Ph.D., the Isaiah Institute",URL,Analytical Commentary of Isaiah
True,2021-12-30 22:58:16,2020-07-25 17:00:00,https://www.isaiahexplained.com/media/commentary/Isaiah38.mp3,1A264012671D6F9B,Isaiah 38,1433000,Podcast,True,5160,"Avraham Gileadi, Ph.D., the Isaiah Institute",URL,Analytical Commentary of Isaiah
True,2021-12-30 22:58:16,2020-07-24 17:00:00,https://www.isaiahexplained.com/media/commentary/Isaiah39.mp3,D6105557C759D530,Isaiah 39,466000,Podcast,True,5158,"Avraham Gileadi, Ph.D., the Isaiah Institute",URL,Analytical Commentary of Isaiah
True,2021-12-30 22:58:16,2020-07-23 17:00:00,https://www.isaiahexplained.com/media/commentary/Isaiah40.mp3,9D6FDF561BF9AC94,Isaiah 40,2811000,Podcast,True,5156,"Avraham Gileadi, Ph.D., the Isaiah Institute",URL,Analytical Commentary of Isaiah
True,2021-12-30 22:58:16,2020-07-22 17:00:00,https://www.isaiahexplained.com/media/commentary/Isaiah41.mp3,9AF39F4868E31060,Isaiah 41,2326000,Podcast,True,5154,"Avraham Gileadi, Ph.D., the Isaiah Institute",URL,Analytical Commentary of Isaiah
True,2021-12-30 22:58:16,2020-07-21 17:00:00,https://www.isaiahexplained.com/media/commentary/Isaiah42.mp3,B78F6A5132E8305C,Isaiah 42,3819000,Podcast,True,5152,"Avraham Gileadi, Ph.D., the Isaiah Institute",URL,Analytical Commentary of Isaiah
True,2021-12-30 22:58:16,2020-07-20 17:00:00,https://www.isaiahexplained.com/media/commentary/Isaiah43.mp3,DC3484CD39A03C13,Isaiah 43,2479000,Podcast,True,5150,"Avraham Gileadi, Ph.D., the Isaiah Institute",URL,Analytical Commentary of Isaiah
True,2021-12-30 22:58:16,2020-07-19 17:00:00,https://www.isaiahexplained.com/media/commentary/Isaiah44.mp3,3FAC2E0B3C19A37C,Isaiah 44,2006000,Podcast,True,5148,"Avraham Gileadi, Ph.D., the Isaiah Institute",URL,Analytical Commentary of Isaiah
True,2021-12-30 22:58:16,2020-07-18 17:00:00,https://www.isaiahexplained.com/media/commentary/Isaiah45.mp3,A434EE60656CEB84,Isaiah 45,2869000,Podcast,True,5146,"Avraham Gileadi, Ph.D., the Isaiah Institute",URL,Analytical Commentary of Isaiah
True,2021-12-30 22:58:16,2020-07-17 17:00:00,https://www.isaiahexplained.com/media/commentary/Isaiah46.mp3,06A287F57F978EF6,Isaiah 46,820000,Podcast,True,5144,"Avraham Gileadi, Ph.D., the Isaiah Institute",URL,Analytical Commentary of Isaiah
True,2021-12-30 22:58:16,2020-07-16 17:00:00,https://www.isaiahexplained.com/media/commentary/Isaiah47.mp3,86D0B47E3AD45C98,Isaiah 47,1565000,Podcast,True,5142,"Avraham Gileadi, Ph.D., the Isaiah Institute",URL,Analytical Commentary of Isaiah
True,2021-12-30 22:58:16,2020-07-15 17:00:00,https://www.isaiahexplained.com/media/commentary/Isaiah48.mp3,1DC2BA931B9948D8,Isaiah 48,1854000,Podcast,True,5140,"Avraham Gileadi, Ph.D., the Isaiah Institute",URL,Analytical Commentary of Isaiah
True,2021-12-30 22:58:16,2020-07-14 17:00:00,https://www.isaiahexplained.com/media/commentary/Isaiah49.mp3,8CEEB95213293128,Isaiah 49,2471000,Podcast,True,5138,"Avraham Gileadi, Ph.D., the Isaiah Institute",URL,Analytical Commentary of Isaiah
True,2021-12-30 22:58:16,2020-07-13 17:00:00,https://www.isaiahexplained.com/media/commentary/Isaiah50.mp3,607A57E0A81ED02A,Isaiah 50,924000,Podcast,True,5136,"Avraham Gileadi, Ph.D., the Isaiah Institute",URL,Analytical Commentary of Isaiah
True,2021-12-30 22:58:16,2020-07-12 17:00:00,https://www.isaiahexplained.com/media/commentary/Isaiah51.mp3,90A1427650EEAAA0,Isaiah 51,2220000,Podcast,True,5134,"Avraham Gileadi, Ph.D., the Isaiah Institute",URL,Analytical Commentary of Isaiah
