unplayed,date_added,release_date,location,persistent_id,name,total_time,genre,podcast,play_date,track_id,play_date_utc,play_count,track_type,size,album,sort_name
True,2021-12-30 22:58:20,2019-07-15 04:29:49,https://ldsperfectday.podomatic.com/enclosure/2019-07-14T21_29_49-07_00.mp3?_=1563165024.14219535,FB14E2837EA656BF,Casting Out Evil...for Women -- Part 2: Modern-Day Casting Out Testimonials,958000,Podcast,True,3651078802,8624,2019-09-12 02:33:22,,URL,11508260,LDS Perfect Days Podcast,
True,2021-12-30 22:58:20,2019-07-24 03:02:25,https://ldsperfectday.podomatic.com/enclosure/2019-07-23T20_02_25-07_00.mp3?_=1563937379.14238447,E36814FA40BC639E,Casting Out Evil...for Women -- Part 3: When Casting Out Isn’t Enough,1672000,Podcast,True,3646924068,8626,2019-07-26 00:27:48,,URL,20075065,LDS Perfect Days Podcast,
True,2021-12-30 22:58:20,2019-09-10 02:26:46,https://ldsperfectday.podomatic.com/enclosure/2019-09-09T19_26_46-07_00.mp3?_=1568082460.14321366,F123FB599000CF6F,"Casting Out Evil, Part 4: Dispelling the Myths Behind Casting Out",766000,Podcast,True,3651654419,8628,2019-09-18 18:26:59,,URL,9199558,LDS Perfect Days Podcast,
True,2021-12-30 22:58:20,2019-09-16 00:27:19,https://ldsperfectday.podomatic.com/enclosure/2019-09-15T17_27_19-07_00.mp3?_=1568593663.14332301,E907421CE6F9EC2C,"Casting Out Evil, Part 5: The Tactics Satan Uses to Torment You",937000,Podcast,True,3651650574,8630,2019-09-18 17:22:54,,URL,11244945,LDS Perfect Days Podcast,
True,2021-12-30 22:58:20,2019-10-03 02:50:37,https://ldsperfectday.podomatic.com/enclosure/2019-10-02T19_50_37-07_00.mp3?_=1570071072.14365393,47D7613F232421F2,"Casting Out Evil, Part 6: Real People Who Crushed Satan’s Head",1244000,Podcast,True,3654755339,8632,2019-10-24 15:48:59,,URL,14931345,LDS Perfect Days Podcast,
True,2021-12-30 22:58:20,2019-11-13 02:52:08,https://ldsperfectday.podomatic.com/enclosure/2019-11-12T18_52_08-08_00.mp3?_=1573613613.14444096,F2A796BA7243D28F,The Best Friend You Never Knew Part 1: Introducing...the Church of the Latter-day Saints,897000,Podcast,True,3656686293,8634,2019-11-16 01:11:33,,URL,10769803,LDS Perfect Days Podcast,Best Friend You Never Knew Part 1: Introducing...the Church of the Latter-day Saints
True,2021-12-30 22:58:20,2019-12-02 00:22:52,https://ldsperfectday.podomatic.com/enclosure/2019-12-01T16_22_52-08_00.mp3?_=1575246218.14477624,3671ADDFA282C136,The Best Friend You Never Knew Part 2: Take the first step to having a personal relationship with Jesus,855000,Podcast,True,3658380857,8636,2019-12-05 15:54:17,,URL,10266607,LDS Perfect Days Podcast,Best Friend You Never Knew Part 2: Take the first step to having a personal relationship with Jesus
True,2021-12-30 22:58:20,2019-12-03 05:14:54,https://ldsperfectday.podomatic.com/enclosure/2019-12-02T21_14_54-08_00.mp3?_=1576118733.14496749,6EDDDD556AAFD743,The Best Friend You Never Knew Part 3: Discover His true presence in your life at a whole new level,1311000,Podcast,True,,8638,,,URL,31469362,LDS Perfect Days Podcast,Best Friend You Never Knew Part 3: Discover His true presence in your life at a whole new level
True,2021-12-30 22:58:20,2020-01-05 03:18:19,https://ldsperfectday.podomatic.com/enclosure/2020-01-04T19_18_19-08_00.mp3?_=1578194366.14533612,DDDF09F9DE6A1F3B,"The Best Friend You Never Knew Part 4: From now on, call upon Jesus by His real name",1890000,Podcast,True,3670225453,8640,2020-04-20 17:04:13,,URL,22680809,LDS Perfect Days Podcast,"Best Friend You Never Knew Part 4: From now on, call upon Jesus by His real name"
True,2021-12-30 22:58:20,2020-01-16 22:34:31,https://ldsperfectday.podomatic.com/enclosure/2020-01-16T14_34_31-08_00.mp3?_=1579214112.14554111,39DACFD26B8101B8,"The Definitive Guide to ""Sacred, not Secret""",1266000,Podcast,True,3663129925,8642,2020-01-29 15:05:25,,URL,15193092,LDS Perfect Days Podcast,"Definitive Guide to ""Sacred, not Secret"""
