date_added,clean,persistent_id,name,kind,podcast,album_artist,bitrate,play_date_utc,unplayed,comments,track_number,location,file_folder_count,track_id,play_count,size,library_folder_count,track_type,album,sort_name,date_modified,release_date,genre,sample_rate,total_time,play_date,year,artist,normalization,bpm
2021-12-30 22:58:21,True,963860A529F47021,Articles of Faith podcast: Big Ocean Women – Interview with Carolina Allen,,True,,,2021-07-16 20:27:21,,,,https://media.blubrry.com/mormonfaircast/www.fairlatterdaysaints.org/wp-content/uploads/2015/02/AOF-BigOceanWomen-Oart1.mp3,,8836,1,49935896,,URL,Latter-day Saint FAIR-Cast,,,2015-03-02 15:57:46,Podcast,,2152000,3709290441,,FAIR,,
2021-12-30 22:58:21,True,200346E2A3898705,Mormon Fair-Cast: Peoples Choice Podcast voting,,True,,,2021-07-16 20:27:23,,,,https://media.blubrry.com/mormonfaircast/www.fairlatterdaysaints.org/wp-content/uploads/2015/03/Mormon-Fair-Cast-Award-Promo-Pod.mp3,,8838,1,6992876,,URL,Latter-day Saint FAIR-Cast,,,2015-03-04 06:57:56,Podcast,,291000,3709290443,,FAIR,,
2021-12-30 22:58:21,True,A26C3EB6DF331925,Fair Issues 82: The errors of Holley’s map,,True,,,2021-07-16 20:27:21,,,,https://media.blubrry.com/mormonfaircast/www.fairlatterdaysaints.org/wp-content/uploads/2015/03/Fair-Issues-82-Pod.mp3,,8840,1,12227814,,URL,Latter-day Saint FAIR-Cast,,,2015-03-09 05:52:16,Podcast,,509000,3709290441,,FAIR,,
2021-12-30 22:58:21,True,8C8A58478D765688,Rise Up Podcast – What Is Your Mission in Life?,,True,,,2021-07-16 20:27:22,,,,https://media.blubrry.com/mormonfaircast/www.fairlatterdaysaints.org/wp-content/uploads/2015/03/RiseUp-WhatsYourMission.mp3,,8842,1,31332771,,URL,Latter-day Saint FAIR-Cast,,,2015-03-11 15:13:57,Podcast,,1346000,3709290442,,FAIR,,
2021-12-30 22:58:21,True,FB798D8EB31B7E9D,4th Watch 19: Why are Mormons prejudiced?,,True,,,2021-07-16 20:27:22,,,,https://media.blubrry.com/mormonfaircast/www.fairlatterdaysaints.org/wp-content/uploads/2015/03/4th-Watch-19-Pod.mp3,,8844,1,38628731,,URL,Latter-day Saint FAIR-Cast,,,2015-03-12 14:00:28,Podcast,,1609000,3709290442,,FAIR,,
2021-12-30 22:58:21,,770C0372C565C4C9,Faith and Reason 40: Thieves and Robbers,,True,,,2021-07-16 20:27:22,,,,https://media.blubrry.com/mormonfaircast/www.fairlatterdaysaints.org/wp-content/uploads/2015/06/Thieves-and-Robbers-MP3.mp3,,8846,1,4246633,,URL,Latter-day Saint FAIR-Cast,,,2015-03-15 04:48:42,Podcast,,265000,3709290442,,FAIR,,
2021-12-30 22:58:21,True,1CDC4805EDAC816B,Front Page News Review Podcast #6,,True,,,2021-07-16 20:27:23,,,,https://media.blubrry.com/mormonfaircast/www.fairlatterdaysaints.org/wp-content/uploads/2015/03/FrontPage6.mp3,,8848,1,38457246,,URL,Latter-day Saint FAIR-Cast,,,2015-03-16 22:34:13,Podcast,,1549000,3709290443,,FAIR,,
2021-12-30 22:58:21,True,5B6A4CFA6278F04E,"Articles of Faith Podcast: In The Gospel, Faith Must Come First – Interview with Taylor Halverson",,True,,,2021-07-16 20:27:21,,,,https://media.blubrry.com/mormonfaircast/www.fairlatterdaysaints.org/wp-content/uploads/2015/03/AOF-TaylorHalvorson-FaithFirst.mp3,,8850,1,43400959,,URL,Latter-day Saint FAIR-Cast,,,2015-03-23 13:45:02,Podcast,,1736000,3709290441,,FAIR,,
2021-12-30 22:58:21,True,7E6C3194F5937666,RiseUp Podcast – Freetown Movie – Interview with Garrett Batty and Melissa Larson,,True,,,2021-07-16 20:27:22,,,,https://media.blubrry.com/mormonfaircast/www.fairlatterdaysaints.org/wp-content/uploads/2015/03/RiseUp-Freetown.mp3,,8852,1,61605926,,URL,Latter-day Saint FAIR-Cast,,,2015-03-24 10:00:27,Podcast,,2587000,3709290442,,FAIR,,
2021-12-30 22:58:21,True,E8E927631F15205E,Articles of Faith Podcast: Syntax and Book of Mormon Authorship – Interview with Stanford Carmack,,True,,,2021-07-16 20:27:21,,,,https://media.blubrry.com/mormonfaircast/www.fairlatterdaysaints.org/wp-content/uploads/2015/03/AOF-StanfordCarmack-BOM-Syntax.mp3,,8854,1,58662236,,URL,Latter-day Saint FAIR-Cast,,,2015-03-30 21:34:59,Podcast,,2291000,3709290441,,FAIR,,
