date_added,clean,persistent_id,name,kind,podcast,bitrate,play_date_utc,unplayed,explicit,location,file_folder_count,track_id,play_count,size,library_folder_count,track_type,album,sort_name,date_modified,release_date,genre,sample_rate,total_time,play_date,year,artist
2021-12-30 22:58:16,True,E02CA907EAB48C2E,Covid-19 Pandemic - This Generations 9/11 ?,,True,,,True,,https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/24271765/march_corona_new_9_11.mp3,,5932,,20368821,,URL,Defending Utah Radio,,,2020-03-25 13:00:09,Podcast,,1274000,,,Defending Utah
2021-12-30 22:58:16,True,F0399E19CA123118,Lt Governor Cox - Covid-19 - We're All Communists Now,,True,,,True,,https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/24298571/march_cox_we_are_all_communists.mp3,,5934,,40847568,,URL,Defending Utah Radio,,,2020-03-25 18:55:12,Podcast,,2553000,,,Defending Utah
2021-12-30 22:58:16,True,6AA4AC21F7A3AD9A,Summit County Issues Mandatory Stay at Home Order,,True,,,True,,https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/24367165/march_25_suzann_sherman_summit_county.mp3,,5936,,28717371,,URL,Defending Utah Radio,,,2020-03-26 15:00:14,Podcast,,1795000,,,Defending Utah
2021-12-30 22:58:16,True,A14F50A7DF302615,Special Guest: Utah Leaders Encourage Businesses to Return to Normal,,True,,,True,,https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/24400942/march_25_phil_lyman.mp3,,5938,,38440774,,URL,Defending Utah Radio,,,2020-03-26 22:51:36,Podcast,,2403000,,,Defending Utah
2021-12-30 22:58:16,True,839DE18FDC1B5842,"In Massive Power Grab, Herbert Suspends State Election Law",,True,,,True,,https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/24441106/march_27_herbert_power_grab.mp3,,5940,,6712656,,URL,Defending Utah Radio,,,2020-03-27 19:46:10,Podcast,,420000,,,Defending Utah
2021-12-30 22:58:16,True,4C9BFE4ACF4AE1B8,Scientists were wrong by 95% re Covid-19,,True,,,True,,https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/24443090/covid_scientists_96_percent_wrong.mp3,,5942,,21025674,,URL,Defending Utah Radio,,,2020-03-27 20:54:07,Podcast,,1315000,,,Defending Utah
2021-12-30 22:58:16,True,5C16ACC8D32446B3,Covid-19 Thought Crimes - What Thoughts You Must Not Think & Questions You Must Not Ask,,True,,,True,,https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/24679484/march_30_covid_thought_crimes_final.mp3,,5944,,21855055,,URL,Defending Utah Radio,,,2020-03-31 16:14:14,Podcast,,1366000,,,Defending Utah
2021-12-30 22:58:16,True,10D50F0689D682BE,Covid-19 Govt Death Stats : Based on Your Feelings,,True,,,True,,https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/24723798/april_1_covid_deaths_based_on_feelings.mp3,,5946,,5130419,,URL,Defending Utah Radio,,,2020-04-01 21:41:46,Podcast,,321000,,,Defending Utah
2021-12-30 22:58:16,True,79EE77BB22D6E51F,Secret Combinations Past & Present,,True,,,True,,https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/24754979/secret_combinations_today_audio.mp3,,5948,,28964734,,URL,Defending Utah Radio,,,2020-04-02 20:12:10,Podcast,,1811000,,,Defending Utah
2021-12-30 22:58:16,True,20D90F857B66339F,Interview on Pete Santili show  - COVID-19 CRISIS IS MANUFACTURED,,True,,,True,,https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/25580099/pete_sintili_interview_covid_19_crisis_is_manufactured_hospitals_committing_fraud.mp3,,5950,,31724915,,URL,Defending Utah Radio,,,2020-04-15 21:35:17,Podcast,,1983000,,,Defending Utah
2021-12-30 22:58:16,True,32DB1A8ECE242E5A,Mike Lee Endorses Epstein Client Jon Huntsman Jr,,True,,,True,,https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/25580529/april_15_mike_lee_endorses_jon_huntsman.mp3,,5952,,26872848,,URL,Defending Utah Radio,,,2020-04-16 13:00:16,Podcast,,1680000,,,Defending Utah
2021-12-30 22:58:16,True,078F0A599881316F,ICU Nurse Whistle blower: Covid19 is Manufactured Crisis,,True,,,True,,https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/26328008/whistleblower1_finalaudiowith_bumper1.mp3,,5954,,18479329,,URL,Defending Utah Radio,,,2020-04-29 04:44:06,Podcast,,1155000,,,Defending Utah
2021-12-30 22:58:16,True,F9FA15A23ABE9220,Hospice Whistle-blower : CDC Covid 19 Mandates Are Dangerous,,True,,,True,,https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/26328457/whistleblower_interview_2_north.mp3,,5956,,9979843,,URL,Defending Utah Radio,,,2020-04-29 14:30:17,Podcast,,624000,,,Defending Utah
2021-12-30 22:58:16,True,DB769BBEEF01B40F,Idaho State Rep Heather Scott - COVID-19 & Destruction of Liberty,,True,,,True,,https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/26328216/idaho_heather_scott_interview_april_2020.mp3,,5958,,61981071,,URL,Defending Utah Radio,,,2020-04-29 22:30:16,Podcast,,3874000,,,Defending Utah
2021-12-30 22:58:16,True,108AE6630C059956,Governor Tracking You When You Come to Utah STILL,,True,,,True,,https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/26388584/april_30_gov_tracking_you_when_you_come_to_utah.mp3,,5960,,36629666,,URL,Defending Utah Radio,,,2020-04-30 13:00:14,Podcast,,2290000,,,Defending Utah
2021-12-30 22:58:16,True,A0BE8DB2D4919657,The So Called New Normal - Permanent Tyranny,,True,,,True,,https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/27112843/may_11_color_coded_terror_covid_system.mp3,,5962,,33760210,,URL,Defending Utah Radio,So Called New Normal - Permanent Tyranny,,2020-05-11 19:18:28,Podcast,,2112000,,,Defending Utah
2021-12-30 22:58:16,True,B80D9AF866D7EC6D,"HR6666 Home Kidnapping, Contact Tracing in Utah, What To Do About It",,True,,,True,,https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/27342931/may_14_contact_tracing_hb6666.mp3,,5964,,9418524,,URL,Defending Utah Radio,,,2020-05-14 17:10:09,Podcast,,589000,,,Defending Utah
2021-12-30 22:58:16,True,2343A52C41E4911F,Mainstream Media Attacks Defending Utah,,True,,,True,,https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/27454003/may_15_mainstream_media_attacks.mp3,,5966,,15648520,,URL,Defending Utah Radio,,,2020-05-15 22:29:00,Podcast,,977000,,,Defending Utah
2021-12-30 22:58:16,True,318804870DE2CB6D,"Utah Anti Privacy ""Privacy"" Bill",,True,,,True,,https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/27712182/may_18_utah_anti_privacy_privacy_bill.mp3,,5968,,37829230,,URL,Defending Utah Radio,,,2020-05-18 23:36:46,Podcast,,2365000,,,Defending Utah
2021-12-30 22:58:16,True,85BA8BA5E2D8B7FF,YouTube Blocking Videos and Other Methods of Social Conditioning,,True,,,True,,https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/28385295/may_22_social_conditioning.mp3,,5970,,30712221,,URL,Defending Utah Radio,,,2020-05-26 21:34:45,Podcast,,1920000,,,Defending Utah
2021-12-30 22:58:16,True,3CD4AE0B0A6465A2,Quarantine Detention Centers in Salt Lake ?,,True,,,True,,https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/28570111/may_28_fema_utah.mp3,,5972,,33701047,,URL,Defending Utah Radio,,,2020-05-28 20:46:36,Podcast,,2107000,,,Defending Utah
2021-12-30 22:58:16,True,C54AD31DDB7E33AF,Ammon Bundy How to Restore Rights,,True,,,True,,https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/29140616/june_3_ammon_bundy_talk.mp3,,5974,,69752953,,URL,Defending Utah Radio,,,2020-06-03 19:49:28,Podcast,,4360000,,,Defending Utah
2021-12-30 22:58:16,True,D6BC8F137638F94A,Who is REALLY Behind the Rioting,,True,,,True,,https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/29915656/june_8_wolverton_who_is_behind_riots.mp3,,5976,,12833181,,URL,Defending Utah Radio,,,2020-06-08 20:36:41,Podcast,,803000,,,Defending Utah
2021-12-30 22:58:16,True,A43CCEF61E73AFA0,Government Supported Utah Riots Part 1,,True,,,True,,https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/30459288/june_11_government_sponsored_riots.mp3,,5978,,16690363,,URL,Defending Utah Radio,,,2020-06-12 18:21:06,Podcast,,1044000,,,Defending Utah
2021-12-30 22:58:16,True,995BBCB5231F2B7A,Responding to Legislators RE Forced Testing and new ID,,True,,,True,,https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/30607587/june_13_scott_responds_to_legislators_covid_testing.mp3,,5980,,24848254,,URL,Defending Utah Radio,,,2020-06-14 00:04:47,Podcast,,1553000,,,Defending Utah
2021-12-30 22:58:16,True,961A8A87030BF7D2,Utah Senator Attacks Defending Utah,,True,,2020-06-20 14:23:39,True,,https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/31343213/june_16_thatcher_attacks_du.mp3,,5982,,10465025,,URL,Defending Utah Radio,,,2020-06-17 00:55:12,Podcast,,655000,3675486219,,Defending Utah
2021-12-30 22:58:16,True,FA2B7165F6BD9510,URGENT Special Session Erasing the 4th amendment and forced C0V1D virus testing,,True,,,True,,https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/31770892/june_18_shred_the_4th.mp3,,5984,,19515095,,URL,Defending Utah Radio,,,2020-06-18 22:26:32,Podcast,,1220000,,,Defending Utah
2021-12-30 22:58:16,True,5EBA4A963513B2B7,Utah Passes FORCED Virus Testing,,True,,2020-08-05 13:28:12,True,,https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/35783855/july_1_forced_testing.mp3,,5986,,17275252,,URL,Defending Utah Radio,,,2020-07-03 22:22:26,Podcast,,1080000,3679457292,,Defending Utah
2021-12-30 22:58:16,True,D873286592BA6353,Hospice Whistleblower: State and fed rules are harming patients,,True,,2020-07-25 17:29:12,True,,https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/36456583/july_6_cameron_smith_interview.mp3,,5988,,36487163,,URL,Defending Utah Radio,,,2020-07-06 20:59:48,Podcast,,2281000,3678521352,,Defending Utah
2021-12-30 22:58:16,True,FFAA8C41342299A0,Maskless Shopping the Wimpy Boston Tea Party,,True,,2020-07-25 20:24:06,True,,https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/39526274/july_13_east_india_and_harmons.mp3,,5990,,28295581,,URL,Defending Utah Radio,,,2020-07-13 22:12:41,Podcast,,1769000,3678531846,,Defending Utah
